,CountryID,TechID,Year,Description,TransTypeID,DemandShareP,AveCapacityP,AveLoadFactorP,AveCapacityF,AveLoadFactorF,CargoFactor,AveNumTrips,AveTripLength,ExpectLife,FailSteep
31,9,4010,2043,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
32,9,4010,2044,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
33,9,4010,2045,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
34,9,4010,2046,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
35,9,4010,2047,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
36,9,4010,2048,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
37,9,4010,2049,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
38,9,4010,2050,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
39,9,4010,2051,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
40,9,4010,2052,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
41,9,4010,2053,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
42,9,4010,2054,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
43,9,4010,2055,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
44,9,4010,2056,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
45,9,4010,2057,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
