,CountryID,PolicyID,Year,VehTypeID,JSTypeID,Vignette,ParkingCharge
0,9,0,2012,2,1,0,0
1,9,0,2012,2,3,0,0
2,9,0,2012,3,1,0,0
3,9,0,2012,3,3,0,0
4,9,0,2012,4,1,0,0
5,9,0,2012,4,3,0,0
6,9,0,2012,5,1,0,0
7,9,0,2012,5,3,0,0
8,9,0,2013,2,1,0,0
9,9,0,2013,2,3,0,0
10,9,0,2013,3,1,0,0
11,9,0,2013,3,3,0,0
12,9,0,2013,4,1,0,0
13,9,0,2013,4,3,0,0
14,9,0,2013,5,1,0,0
15,9,0,2013,5,3,0,0
16,9,0,2014,2,1,0,0
17,9,0,2014,2,3,0,0
18,9,0,2014,3,1,0,0
19,9,0,2014,3,3,0,0
20,9,0,2014,4,1,0,0
21,9,0,2014,4,3,0,0
22,9,0,2014,5,1,0,0
23,9,0,2014,5,3,0,0
24,9,0,2015,2,1,0,0
25,9,0,2015,2,3,0,0
26,9,0,2015,3,1,0,0
27,9,0,2015,3,3,0,0
28,9,0,2015,4,1,0,0
29,9,0,2015,4,3,0,0
30,9,0,2015,5,1,0,0
31,9,0,2015,5,3,0,0
32,9,0,2016,2,1,0,0
33,9,0,2016,2,3,0,0
34,9,0,2016,3,1,0,0
35,9,0,2016,3,3,0,0
36,9,0,2016,4,1,0,0
37,9,0,2016,4,3,0,0
38,9,0,2016,5,1,0,0
39,9,0,2016,5,3,0,0
40,9,0,2017,2,1,0,0
41,9,0,2017,2,3,0,0
42,9,0,2017,3,1,0,0
43,9,0,2017,3,3,0,0
44,9,0,2017,4,1,0,0
45,9,0,2017,4,3,0,0
46,9,0,2017,5,1,0,0
47,9,0,2017,5,3,0,0
48,9,0,2018,2,1,0,0
49,9,0,2018,2,3,0,0
50,9,0,2018,3,1,0,0
51,9,0,2018,3,3,0,0
52,9,0,2018,4,1,0,0
53,9,0,2018,4,3,0,0
54,9,0,2018,5,1,0,0
55,9,0,2018,5,3,0,0
56,9,0,2019,2,1,0,0
57,9,0,2019,2,3,0,0
58,9,0,2019,3,1,0,0
59,9,0,2019,3,3,0,0
60,9,0,2019,4,1,0,0
61,9,0,2019,4,3,0,0
62,9,0,2019,5,1,0,0
63,9,0,2019,5,3,0,0
64,9,0,2020,2,1,0,0
65,9,0,2020,2,3,0,0
66,9,0,2020,3,1,0,0
67,9,0,2020,3,3,0,0
68,9,0,2020,4,1,0,0
69,9,0,2020,4,3,0,0
70,9,0,2020,5,1,0,0
71,9,0,2020,5,3,0,0
72,9,0,2021,2,1,0,0
73,9,0,2021,2,3,0,0
74,9,0,2021,3,1,0,0
75,9,0,2021,3,3,0,0
76,9,0,2021,4,1,0,0
77,9,0,2021,4,3,0,0
78,9,0,2021,5,1,0,0
79,9,0,2021,5,3,0,0
80,9,0,2022,2,1,0,0
81,9,0,2022,2,3,0,0
82,9,0,2022,3,1,0,0
83,9,0,2022,3,3,0,0
84,9,0,2022,4,1,0,0
85,9,0,2022,4,3,0,0
86,9,0,2022,5,1,0,0
87,9,0,2022,5,3,0,0
88,9,0,2023,2,1,0,0
89,9,0,2023,2,3,0,0
90,9,0,2023,3,1,0,0
91,9,0,2023,3,3,0,0
92,9,0,2023,4,1,0,0
93,9,0,2023,4,3,0,0
94,9,0,2023,5,1,0,0
95,9,0,2023,5,3,0,0
96,9,0,2024,2,1,0,0
97,9,0,2024,2,3,0,0
98,9,0,2024,3,1,0,0
99,9,0,2024,3,3,0,0
100,9,0,2024,4,1,0,0
101,9,0,2024,4,3,0,0
102,9,0,2024,5,1,0,0
103,9,0,2024,5,3,0,0
104,9,0,2025,2,1,0,0
105,9,0,2025,2,3,0,0
106,9,0,2025,3,1,0,0
107,9,0,2025,3,3,0,0
108,9,0,2025,4,1,0,0
109,9,0,2025,4,3,0,0
110,9,0,2025,5,1,0,0
111,9,0,2025,5,3,0,0
112,9,0,2026,2,1,0,0
113,9,0,2026,2,3,0,0
114,9,0,2026,3,1,0,0
115,9,0,2026,3,3,0,0
116,9,0,2026,4,1,0,0
117,9,0,2026,4,3,0,0
118,9,0,2026,5,1,0,0
119,9,0,2026,5,3,0,0
120,9,0,2027,2,1,0,0
121,9,0,2027,2,3,0,0
122,9,0,2027,3,1,0,0
123,9,0,2027,3,3,0,0
124,9,0,2027,4,1,0,0
125,9,0,2027,4,3,0,0
126,9,0,2027,5,1,0,0
127,9,0,2027,5,3,0,0
128,9,0,2028,2,1,0,0
129,9,0,2028,2,3,0,0
130,9,0,2028,3,1,0,0
131,9,0,2028,3,3,0,0
132,9,0,2028,4,1,0,0
133,9,0,2028,4,3,0,0
134,9,0,2028,5,1,0,0
135,9,0,2028,5,3,0,0
136,9,0,2029,2,1,0,0
137,9,0,2029,2,3,0,0
138,9,0,2029,3,1,0,0
139,9,0,2029,3,3,0,0
140,9,0,2029,4,1,0,0
141,9,0,2029,4,3,0,0
142,9,0,2029,5,1,0,0
143,9,0,2029,5,3,0,0
144,9,0,2030,2,1,0,0
145,9,0,2030,2,3,0,0
146,9,0,2030,3,1,0,0
147,9,0,2030,3,3,0,0
148,9,0,2030,4,1,0,0
149,9,0,2030,4,3,0,0
150,9,0,2030,5,1,0,0
151,9,0,2030,5,3,0,0
152,9,0,2031,2,1,0,0
153,9,0,2031,2,3,0,0
154,9,0,2031,3,1,0,0
155,9,0,2031,3,3,0,0
156,9,0,2031,4,1,0,0
157,9,0,2031,4,3,0,0
158,9,0,2031,5,1,0,0
159,9,0,2031,5,3,0,0
160,9,0,2032,2,1,0,0
161,9,0,2032,2,3,0,0
162,9,0,2032,3,1,0,0
163,9,0,2032,3,3,0,0
164,9,0,2032,4,1,0,0
165,9,0,2032,4,3,0,0
166,9,0,2032,5,1,0,0
167,9,0,2032,5,3,0,0
168,9,0,2033,2,1,0,0
169,9,0,2033,2,3,0,0
170,9,0,2033,3,1,0,0
171,9,0,2033,3,3,0,0
172,9,0,2033,4,1,0,0
173,9,0,2033,4,3,0,0
174,9,0,2033,5,1,0,0
175,9,0,2033,5,3,0,0
176,9,0,2034,2,1,0,0
177,9,0,2034,2,3,0,0
178,9,0,2034,3,1,0,0
179,9,0,2034,3,3,0,0
180,9,0,2034,4,1,0,0
181,9,0,2034,4,3,0,0
182,9,0,2034,5,1,0,0
183,9,0,2034,5,3,0,0
184,9,0,2035,2,1,0,0
185,9,0,2035,2,3,0,0
186,9,0,2035,3,1,0,0
187,9,0,2035,3,3,0,0
188,9,0,2035,4,1,0,0
189,9,0,2035,4,3,0,0
190,9,0,2035,5,1,0,0
191,9,0,2035,5,3,0,0
192,9,0,2036,2,1,0,0
193,9,0,2036,2,3,0,0
194,9,0,2036,3,1,0,0
195,9,0,2036,3,3,0,0
196,9,0,2036,4,1,0,0
197,9,0,2036,4,3,0,0
198,9,0,2036,5,1,0,0
199,9,0,2036,5,3,0,0
200,9,0,2037,2,1,0,0
201,9,0,2037,2,3,0,0
202,9,0,2037,3,1,0,0
203,9,0,2037,3,3,0,0
204,9,0,2037,4,1,0,0
205,9,0,2037,4,3,0,0
206,9,0,2037,5,1,0,0
207,9,0,2037,5,3,0,0
208,9,0,2038,2,1,0,0
209,9,0,2038,2,3,0,0
210,9,0,2038,3,1,0,0
211,9,0,2038,3,3,0,0
212,9,0,2038,4,1,0,0
213,9,0,2038,4,3,0,0
214,9,0,2038,5,1,0,0
215,9,0,2038,5,3,0,0
216,9,0,2039,2,1,0,0
217,9,0,2039,2,3,0,0
218,9,0,2039,3,1,0,0
219,9,0,2039,3,3,0,0
220,9,0,2039,4,1,0,0
221,9,0,2039,4,3,0,0
222,9,0,2039,5,1,0,0
223,9,0,2039,5,3,0,0
224,9,0,2040,2,1,0,0
225,9,0,2040,2,3,0,0
226,9,0,2040,3,1,0,0
227,9,0,2040,3,3,0,0
228,9,0,2040,4,1,0,0
229,9,0,2040,4,3,0,0
230,9,0,2040,5,1,0,0
231,9,0,2040,5,3,0,0
232,9,0,2041,2,1,0,0
233,9,0,2041,2,3,0,0
234,9,0,2041,3,1,0,0
235,9,0,2041,3,3,0,0
236,9,0,2041,4,1,0,0
237,9,0,2041,4,3,0,0
238,9,0,2041,5,1,0,0
239,9,0,2041,5,3,0,0
240,9,0,2042,2,1,0,0
241,9,0,2042,2,3,0,0
242,9,0,2042,3,1,0,0
243,9,0,2042,3,3,0,0
244,9,0,2042,4,1,0,0
245,9,0,2042,4,3,0,0
246,9,0,2042,5,1,0,0
247,9,0,2042,5,3,0,0
248,9,0,2043,2,1,0,0
249,9,0,2043,2,3,0,0
250,9,0,2043,3,1,0,0
251,9,0,2043,3,3,0,0
252,9,0,2043,4,1,0,0
253,9,0,2043,4,3,0,0
254,9,0,2043,5,1,0,0
255,9,0,2043,5,3,0,0
256,9,0,2044,2,1,0,0
257,9,0,2044,2,3,0,0
258,9,0,2044,3,1,0,0
259,9,0,2044,3,3,0,0
260,9,0,2044,4,1,0,0
261,9,0,2044,4,3,0,0
262,9,0,2044,5,1,0,0
263,9,0,2044,5,3,0,0
264,9,0,2045,2,1,0,0
265,9,0,2045,2,3,0,0
266,9,0,2045,3,1,0,0
267,9,0,2045,3,3,0,0
268,9,0,2045,4,1,0,0
269,9,0,2045,4,3,0,0
270,9,0,2045,5,1,0,0
271,9,0,2045,5,3,0,0
272,9,0,2046,2,1,0,0
273,9,0,2046,2,3,0,0
274,9,0,2046,3,1,0,0
275,9,0,2046,3,3,0,0
276,9,0,2046,4,1,0,0
277,9,0,2046,4,3,0,0
278,9,0,2046,5,1,0,0
279,9,0,2046,5,3,0,0
280,9,0,2047,2,1,0,0
281,9,0,2047,2,3,0,0
282,9,0,2047,3,1,0,0
283,9,0,2047,3,3,0,0
284,9,0,2047,4,1,0,0
285,9,0,2047,4,3,0,0
286,9,0,2047,5,1,0,0
287,9,0,2047,5,3,0,0
288,9,0,2048,2,1,0,0
289,9,0,2048,2,3,0,0
290,9,0,2048,3,1,0,0
291,9,0,2048,3,3,0,0
292,9,0,2048,4,1,0,0
293,9,0,2048,4,3,0,0
294,9,0,2048,5,1,0,0
295,9,0,2048,5,3,0,0
296,9,0,2049,2,1,0,0
297,9,0,2049,2,3,0,0
298,9,0,2049,3,1,0,0
299,9,0,2049,3,3,0,0
300,9,0,2049,4,1,0,0
301,9,0,2049,4,3,0,0
302,9,0,2049,5,1,0,0
303,9,0,2049,5,3,0,0
304,9,0,2050,2,1,0,0
305,9,0,2050,2,3,0,0
306,9,0,2050,3,1,0,0
307,9,0,2050,3,3,0,0
308,9,0,2050,4,1,0,0
309,9,0,2050,4,3,0,0
310,9,0,2050,5,1,0,0
311,9,0,2050,5,3,0,0
312,9,0,2051,2,1,0,0
313,9,0,2051,2,3,0,0
314,9,0,2051,3,1,0,0
315,9,0,2051,3,3,0,0
316,9,0,2051,4,1,0,0
317,9,0,2051,4,3,0,0
318,9,0,2051,5,1,0,0
319,9,0,2051,5,3,0,0
320,9,0,2052,2,1,0,0
321,9,0,2052,2,3,0,0
322,9,0,2052,3,1,0,0
323,9,0,2052,3,3,0,0
324,9,0,2052,4,1,0,0
325,9,0,2052,4,3,0,0
326,9,0,2052,5,1,0,0
327,9,0,2052,5,3,0,0
328,9,0,2053,2,1,0,0
329,9,0,2053,2,3,0,0
330,9,0,2053,3,1,0,0
331,9,0,2053,3,3,0,0
332,9,0,2053,4,1,0,0
333,9,0,2053,4,3,0,0
334,9,0,2053,5,1,0,0
335,9,0,2053,5,3,0,0
336,9,0,2054,2,1,0,0
337,9,0,2054,2,3,0,0
338,9,0,2054,3,1,0,0
339,9,0,2054,3,3,0,0
340,9,0,2054,4,1,0,0
341,9,0,2054,4,3,0,0
342,9,0,2054,5,1,0,0
343,9,0,2054,5,3,0,0
344,9,0,2055,2,1,0,0
345,9,0,2055,2,3,0,0
346,9,0,2055,3,1,0,0
347,9,0,2055,3,3,0,0
348,9,0,2055,4,1,0,0
349,9,0,2055,4,3,0,0
350,9,0,2055,5,1,0,0
351,9,0,2055,5,3,0,0
352,9,0,2056,2,1,0,0
353,9,0,2056,2,3,0,0
354,9,0,2056,3,1,0,0
355,9,0,2056,3,3,0,0
356,9,0,2056,4,1,0,0
357,9,0,2056,4,3,0,0
358,9,0,2056,5,1,0,0
359,9,0,2056,5,3,0,0
360,9,0,2057,2,1,0,0
361,9,0,2057,2,3,0,0
362,9,0,2057,3,1,0,0
363,9,0,2057,3,3,0,0
364,9,0,2057,4,1,0,0
365,9,0,2057,4,3,0,0
366,9,0,2057,5,1,0,0
367,9,0,2057,5,3,0,0
368,9,0,2058,2,1,0,0
369,9,0,2058,2,3,0,0
370,9,0,2058,3,1,0,0
371,9,0,2058,3,3,0,0
372,9,0,2058,4,1,0,0
373,9,0,2058,4,3,0,0
374,9,0,2058,5,1,0,0
375,9,0,2058,5,3,0,0
376,9,0,2059,2,1,0,0
377,9,0,2059,2,3,0,0
378,9,0,2059,3,1,0,0
379,9,0,2059,3,3,0,0
380,9,0,2059,4,1,0,0
381,9,0,2059,4,3,0,0
382,9,0,2059,5,1,0,0
383,9,0,2059,5,3,0,0
384,9,0,2060,2,1,0,0
385,9,0,2060,2,3,0,0
386,9,0,2060,3,1,0,0
387,9,0,2060,3,3,0,0
388,9,0,2060,4,1,0,0
389,9,0,2060,4,3,0,0
390,9,0,2060,5,1,0,0
391,9,0,2060,5,3,0,0
392,9,0,2061,2,1,0,0
393,9,0,2061,2,3,0,0
394,9,0,2061,3,1,0,0
395,9,0,2061,3,3,0,0
396,9,0,2061,4,1,0,0
397,9,0,2061,4,3,0,0
398,9,0,2061,5,1,0,0
399,9,0,2061,5,3,0,0
400,9,0,2062,2,1,0,0
401,9,0,2062,2,3,0,0
402,9,0,2062,3,1,0,0
403,9,0,2062,3,3,0,0
404,9,0,2062,4,1,0,0
405,9,0,2062,4,3,0,0
406,9,0,2062,5,1,0,0
407,9,0,2062,5,3,0,0
408,9,0,2063,2,1,0,0
409,9,0,2063,2,3,0,0
410,9,0,2063,3,1,0,0
411,9,0,2063,3,3,0,0
412,9,0,2063,4,1,0,0
413,9,0,2063,4,3,0,0
414,9,0,2063,5,1,0,0
415,9,0,2063,5,3,0,0
416,9,0,2064,2,1,0,0
417,9,0,2064,2,3,0,0
418,9,0,2064,3,1,0,0
419,9,0,2064,3,3,0,0
420,9,0,2064,4,1,0,0
421,9,0,2064,4,3,0,0
422,9,0,2064,5,1,0,0
423,9,0,2064,5,3,0,0
424,9,0,2065,2,1,0,0
425,9,0,2065,2,3,0,0
426,9,0,2065,3,1,0,0
427,9,0,2065,3,3,0,0
428,9,0,2065,4,1,0,0
429,9,0,2065,4,3,0,0
430,9,0,2065,5,1,0,0
431,9,0,2065,5,3,0,0
432,9,0,2066,2,1,0,0
433,9,0,2066,2,3,0,0
434,9,0,2066,3,1,0,0
435,9,0,2066,3,3,0,0
436,9,0,2066,4,1,0,0
437,9,0,2066,4,3,0,0
438,9,0,2066,5,1,0,0
439,9,0,2066,5,3,0,0
440,9,0,2067,2,1,0,0
441,9,0,2067,2,3,0,0
442,9,0,2067,3,1,0,0
443,9,0,2067,3,3,0,0
444,9,0,2067,4,1,0,0
445,9,0,2067,4,3,0,0
446,9,0,2067,5,1,0,0
447,9,0,2067,5,3,0,0
448,9,0,2068,2,1,0,0
449,9,0,2068,2,3,0,0
450,9,0,2068,3,1,0,0
451,9,0,2068,3,3,0,0
452,9,0,2068,4,1,0,0
453,9,0,2068,4,3,0,0
454,9,0,2068,5,1,0,0
455,9,0,2068,5,3,0,0
456,9,0,2069,2,1,0,0
457,9,0,2069,2,3,0,0
458,9,0,2069,3,1,0,0
459,9,0,2069,3,3,0,0
460,9,0,2069,4,1,0,0
461,9,0,2069,4,3,0,0
462,9,0,2069,5,1,0,0
463,9,0,2069,5,3,0,0
464,9,0,2070,2,1,0,0
465,9,0,2070,2,3,0,0
466,9,0,2070,3,1,0,0
467,9,0,2070,3,3,0,0
468,9,0,2070,4,1,0,0
469,9,0,2070,4,3,0,0
470,9,0,2070,5,1,0,0
471,9,0,2070,5,3,0,0
472,9,0,2071,2,1,0,0
473,9,0,2071,2,3,0,0
474,9,0,2071,3,1,0,0
475,9,0,2071,3,3,0,0
476,9,0,2071,4,1,0,0
477,9,0,2071,4,3,0,0
478,9,0,2071,5,1,0,0
479,9,0,2071,5,3,0,0
480,9,0,2072,2,1,0,0
481,9,0,2072,2,3,0,0
482,9,0,2072,3,1,0,0
483,9,0,2072,3,3,0,0
484,9,0,2072,4,1,0,0
485,9,0,2072,4,3,0,0
486,9,0,2072,5,1,0,0
487,9,0,2072,5,3,0,0
488,9,0,2073,2,1,0,0
489,9,0,2073,2,3,0,0
490,9,0,2073,3,1,0,0
491,9,0,2073,3,3,0,0
492,9,0,2073,4,1,0,0
493,9,0,2073,4,3,0,0
494,9,0,2073,5,1,0,0
495,9,0,2073,5,3,0,0
496,9,0,2074,2,1,0,0
497,9,0,2074,2,3,0,0
498,9,0,2074,3,1,0,0
499,9,0,2074,3,3,0,0
500,9,0,2074,4,1,0,0
501,9,0,2074,4,3,0,0
502,9,0,2074,5,1,0,0
503,9,0,2074,5,3,0,0
504,9,0,2075,2,1,0,0
505,9,0,2075,2,3,0,0
506,9,0,2075,3,1,0,0
507,9,0,2075,3,3,0,0
508,9,0,2075,4,1,0,0
509,9,0,2075,4,3,0,0
510,9,0,2075,5,1,0,0
511,9,0,2075,5,3,0,0
512,9,0,2076,2,1,0,0
513,9,0,2076,2,3,0,0
514,9,0,2076,3,1,0,0
515,9,0,2076,3,3,0,0
516,9,0,2076,4,1,0,0
517,9,0,2076,4,3,0,0
518,9,0,2076,5,1,0,0
519,9,0,2076,5,3,0,0
520,9,0,2077,2,1,0,0
521,9,0,2077,2,3,0,0
522,9,0,2077,3,1,0,0
523,9,0,2077,3,3,0,0
524,9,0,2077,4,1,0,0
525,9,0,2077,4,3,0,0
526,9,0,2077,5,1,0,0
527,9,0,2077,5,3,0,0
528,9,0,2078,2,1,0,0
529,9,0,2078,2,3,0,0
530,9,0,2078,3,1,0,0
531,9,0,2078,3,3,0,0
532,9,0,2078,4,1,0,0
533,9,0,2078,4,3,0,0
534,9,0,2078,5,1,0,0
535,9,0,2078,5,3,0,0
536,9,0,2079,2,1,0,0
537,9,0,2079,2,3,0,0
538,9,0,2079,3,1,0,0
539,9,0,2079,3,3,0,0
540,9,0,2079,4,1,0,0
541,9,0,2079,4,3,0,0
542,9,0,2079,5,1,0,0
543,9,0,2079,5,3,0,0
544,9,0,2080,2,1,0,0
545,9,0,2080,2,3,0,0
546,9,0,2080,3,1,0,0
547,9,0,2080,3,3,0,0
548,9,0,2080,4,1,0,0
549,9,0,2080,4,3,0,0
550,9,0,2080,5,1,0,0
551,9,0,2080,5,3,0,0
552,9,0,2081,2,1,0,0
553,9,0,2081,2,3,0,0
554,9,0,2081,3,1,0,0
555,9,0,2081,3,3,0,0
556,9,0,2081,4,1,0,0
557,9,0,2081,4,3,0,0
558,9,0,2081,5,1,0,0
559,9,0,2081,5,3,0,0
560,9,0,2082,2,1,0,0
561,9,0,2082,2,3,0,0
562,9,0,2082,3,1,0,0
563,9,0,2082,3,3,0,0
564,9,0,2082,4,1,0,0
565,9,0,2082,4,3,0,0
566,9,0,2082,5,1,0,0
567,9,0,2082,5,3,0,0
568,9,0,2083,2,1,0,0
569,9,0,2083,2,3,0,0
570,9,0,2083,3,1,0,0
571,9,0,2083,3,3,0,0
572,9,0,2083,4,1,0,0
573,9,0,2083,4,3,0,0
574,9,0,2083,5,1,0,0
575,9,0,2083,5,3,0,0
