,LCEIID,TDVSID,VEEMID,ScenarioID,CountryID,Year,VehTypeID,day_night,LEQ,PopN_Value,PopN_PFix,PopN_Unit
83,6,0,7,1,9,2013,5,D,55,12091701.9926795,1,no
84,6,0,7,1,9,2013,5,D,60,4849809.33932706,1,no
85,6,0,7,1,9,2013,5,D,65,1774379.42743924,1,no
86,6,0,7,1,9,2013,5,D,70,611529.605772977,1,no
87,6,0,7,1,9,2013,5,D,75,296719.82870062,1,no
88,6,0,7,1,9,2013,5,N,40,19419201.9764973,1,no
89,6,0,7,1,9,2013,5,N,45,8377252.82755627,1,no
90,6,0,7,1,9,2013,5,N,50,3215822.62183819,1,no
91,6,0,7,1,9,2013,5,N,55,1144885.8740747,1,no
92,6,0,7,1,9,2013,5,N,60,386645.178383028,1,no
93,6,0,7,1,9,2013,5,N,65,125883.946598302,1,no
94,6,0,7,1,9,2013,5,N,70,40236.1896362768,1,no
95,6,0,7,1,9,2013,5,N,75,18682.3875918676,1,no
96,6,0,7,1,9,2014,3,D,40,51735778.5948046,1,no
97,6,0,7,1,9,2014,3,D,45,26321686.9350035,1,no
98,6,0,7,1,9,2014,3,D,50,12037690.8326083,1,no
99,6,0,7,1,9,2014,3,D,55,4935511.09595336,1,no
100,6,0,7,1,9,2014,3,D,60,1899202.98918159,1,no
101,6,0,7,1,9,2014,3,D,65,701654.045256932,1,no
102,6,0,7,1,9,2014,3,D,70,245799.052214288,1,no
103,6,0,7,1,9,2014,3,D,75,120407.415248203,1,no
104,6,0,7,1,9,2014,3,N,40,19402689.6320362,1,no
105,6,0,7,1,9,2014,3,N,45,8454840.57571328,1,no
106,6,0,7,1,9,2014,3,N,50,3356909.75252405,1,no
107,6,0,7,1,9,2014,3,N,55,1269874.43700359,1,no
108,6,0,7,1,9,2014,3,N,60,459520.160206839,1,no
109,6,0,7,1,9,2014,3,N,65,157252.381526563,1,no
110,6,0,7,1,9,2014,3,N,70,51498.035768584,1,no
111,6,0,7,1,9,2014,3,N,75,24159.4610466202,1,no
112,6,0,7,1,9,2014,4,D,40,21163029.195026,1,no
113,6,0,7,1,9,2014,4,D,45,9242133.31192086,1,no
114,6,0,7,1,9,2014,4,D,50,3552454.4172627,1,no
115,6,0,7,1,9,2014,4,D,55,1251836.38554192,1,no
116,6,0,7,1,9,2014,4,D,60,417807.054486415,1,no
117,6,0,7,1,9,2014,4,D,65,135094.289091579,1,no
118,6,0,7,1,9,2014,4,D,70,43058.5987008434,1,no
119,6,0,7,1,9,2014,4,D,75,19971.1342989288,1,no
120,6,0,7,1,9,2014,4,N,40,2388523.87865224,1,no
121,6,0,7,1,9,2014,4,N,45,820561.628105303,1,no
122,6,0,7,1,9,2014,4,N,50,269567.94334226,1,no
123,6,0,7,1,9,2014,4,N,55,86497.745459551,1,no
124,6,0,7,1,9,2014,4,N,60,27489.3213921068,1,no
125,6,0,7,1,9,2014,4,N,65,8706.9195081024,1,no
126,6,0,7,1,9,2014,4,N,70,2754.78610594844,1,no
127,6,0,7,1,9,2014,4,N,75,1274.25135432344,1,no
128,6,0,7,1,9,2014,5,D,40,97322832.5687636,1,no
129,6,0,7,1,9,2014,5,D,45,52792326.8031007,1,no
130,6,0,7,1,9,2014,5,D,50,26970362.9978147,1,no
131,6,0,7,1,9,2014,5,D,55,12332985.914543,1,no
132,6,0,7,1,9,2014,5,D,60,4959943.865156,1,no
133,6,0,7,1,9,2014,5,D,65,1817782.74334421,1,no
134,6,0,7,1,9,2014,5,D,70,627284.042454858,1,no
135,6,0,7,1,9,2014,5,D,75,304678.044744794,1,no
136,6,0,7,1,9,2014,5,N,40,19770461.8382688,1,no
137,6,0,7,1,9,2014,5,N,45,8555083.05509057,1,no
138,6,0,7,1,9,2014,5,N,50,3291501.53815047,1,no
139,6,0,7,1,9,2014,5,N,55,1173552.08431052,1,no
140,6,0,7,1,9,2014,5,N,60,396774.603483358,1,no
141,6,0,7,1,9,2014,5,N,65,129269.088004631,1,no
142,6,0,7,1,9,2014,5,N,70,41330.0306085758,1,no
143,6,0,7,1,9,2014,5,N,75,19192.4465039961,1,no
144,6,0,7,1,9,2015,3,D,40,53207911.3229119,1,no
145,6,0,7,1,9,2015,3,D,45,27172337.8027983,1,no
146,6,0,7,1,9,2015,3,D,50,12492245.4203621,1,no
147,6,0,7,1,9,2015,3,D,55,5142295.34380856,1,no
148,6,0,7,1,9,2015,3,D,60,1982599.58213028,1,no
149,6,0,7,1,9,2015,3,D,65,733912.387760134,1,no
150,6,0,7,1,9,2015,3,D,70,257751.346240129,1,no
151,6,0,7,1,9,2015,3,D,75,126543.472576792,1,no
152,6,0,7,1,9,2015,3,N,40,20073683.9358246,1,no
153,6,0,7,1,9,2015,3,N,45,8792112.96131459,1,no
154,6,0,7,1,9,2015,3,N,50,3501501.49969706,1,no
155,6,0,7,1,9,2015,3,N,55,1326950.73010741,1,no
156,6,0,7,1,9,2015,3,N,60,481322.373685347,1,no
157,6,0,7,1,9,2015,3,N,65,165116.966123234,1,no
158,6,0,7,1,9,2015,3,N,70,54153.6997181278,1,no
159,6,0,7,1,9,2015,3,N,75,25423.1309795774,1,no
160,6,0,7,1,9,2015,4,D,40,20505329.5122315,1,no
161,6,0,7,1,9,2015,4,D,45,8905166.51187078,1,no
162,6,0,7,1,9,2015,4,D,50,3409287.15606203,1,no
163,6,0,7,1,9,2015,4,D,55,1198997.76884375,1,no
164,6,0,7,1,9,2015,4,D,60,399750.307853368,1,no
165,6,0,7,1,9,2015,4,D,65,129188.343645688,1,no
166,6,0,7,1,9,2015,4,D,70,41167.7336990488,1,no
167,6,0,7,1,9,2015,4,D,75,19092.6212627938,1,no
168,6,0,7,1,9,2015,4,N,40,2311631.62923878,1,no
169,6,0,7,1,9,2015,4,N,45,792966.908902497,1,no
170,6,0,7,1,9,2015,4,N,50,260282.793320188,1,no
171,6,0,7,1,9,2015,4,N,55,83486.4987113701,1,no
172,6,0,7,1,9,2015,4,N,60,26528.6222230209,1,no
173,6,0,7,1,9,2015,4,N,65,8402.23562590524,1,no
174,6,0,7,1,9,2015,4,N,70,2658.34741298493,1,no
175,6,0,7,1,9,2015,4,N,75,1229.63631399365,1,no
176,6,0,7,1,9,2015,5,D,40,98429344.6487132,1,no
177,6,0,7,1,9,2015,5,D,45,53430381.2014292,1,no
178,6,0,7,1,9,2015,5,D,50,27340378.7141503,1,no
179,6,0,7,1,9,2015,5,D,55,12533133.8096658,1,no
180,6,0,7,1,9,2015,5,D,60,5051772.64852187,1,no
181,6,0,7,1,9,2015,5,D,65,1854166.22324663,1,no
182,6,0,7,1,9,2015,5,D,70,640562.447205336,1,no
183,6,0,7,1,9,2015,5,D,75,311420.139884789,1,no
184,6,0,7,1,9,2015,5,N,40,20061215.5642813,1,no
185,6,0,7,1,9,2015,5,N,45,8702900.53816567,1,no
186,6,0,7,1,9,2015,5,N,50,3354744.91107438,1,no
187,6,0,7,1,9,2015,5,N,55,1197638.28725993,1,no
188,6,0,7,1,9,2015,5,N,60,405330.07670914,1,no
189,6,0,7,1,9,2015,5,N,65,132138.139350484,1,no
190,6,0,7,1,9,2015,5,N,70,42258.5357699509,1,no
191,6,0,7,1,9,2015,5,N,75,19625.6787064241,1,no
192,6,0,7,1,9,2016,3,D,40,53888533.7652886,1,no
193,6,0,7,1,9,2016,3,D,45,27565947.3159936,1,no
194,6,0,7,1,9,2016,3,D,50,12703462.2753271,1,no
195,6,0,7,1,9,2016,3,D,55,5238875.50955197,1,no
196,6,0,7,1,9,2016,3,D,60,2021637.1278354,1,no
197,6,0,7,1,9,2016,3,D,65,749023.615304786,1,no
198,6,0,7,1,9,2016,3,D,70,263360.466456159,1,no
199,6,0,7,1,9,2016,3,D,75,129430.310062105,1,no
200,6,0,7,1,9,2016,3,N,40,20385402.954161,1,no
201,6,0,7,1,9,2016,3,N,45,8949667.57791608,1,no
202,6,0,7,1,9,2016,3,N,50,3569398.62626393,1,no
203,6,0,7,1,9,2016,3,N,55,1353833.52318245,1,no
204,6,0,7,1,9,2016,3,N,60,491620.642820305,1,no
205,6,0,7,1,9,2016,3,N,65,168843.297326061,1,no
206,6,0,7,1,9,2016,3,N,70,55414.5723794026,1,no
207,6,0,7,1,9,2016,3,N,75,26023.7342024717,1,no
208,6,0,7,1,9,2016,4,D,40,19300760.0753397,1,no
209,6,0,7,1,9,2016,4,D,45,8291617.78309756,1,no
210,6,0,7,1,9,2016,4,D,50,3147916.95008915,1,no
211,6,0,7,1,9,2016,4,D,55,1101219.25109367,1,no
212,6,0,7,1,9,2016,4,D,60,365913.52664546,1,no
213,6,0,7,1,9,2016,4,D,65,118052.690227592,1,no
214,6,0,7,1,9,2016,4,D,70,37594.38591988,1,no
215,6,0,7,1,9,2016,4,D,75,17431.0258403771,1,no
216,6,0,7,1,9,2016,4,N,40,2137044.3158224,1,no
217,6,0,7,1,9,2016,4,N,45,729804.331449172,1,no
218,6,0,7,1,9,2016,4,N,50,238920.266208992,1,no
219,6,0,7,1,9,2016,4,N,55,76544.7247449067,1,no
220,6,0,7,1,9,2016,4,N,60,24312.4874549345,1,no
221,6,0,7,1,9,2016,4,N,65,7699.25344340482,1,no
222,6,0,7,1,9,2016,4,N,70,2435.82330386034,1,no
223,6,0,7,1,9,2016,4,N,75,1126.68839480596,1,no
224,6,0,7,1,9,2016,5,D,40,99637261.5146509,1,no
225,6,0,7,1,9,2016,5,D,45,54126692.8798661,1,no
226,6,0,7,1,9,2016,5,D,50,27744297.3896355,1,no
227,6,0,7,1,9,2016,5,D,55,12752178.0425425,1,no
228,6,0,7,1,9,2016,5,D,60,5152652.10977104,1,no
229,6,0,7,1,9,2016,5,D,65,1894250.39709327,1,no
230,6,0,7,1,9,2016,5,D,70,655225.986103667,1,no
231,6,0,7,1,9,2016,5,D,75,318883.752485929,1,no
232,6,0,7,1,9,2016,5,N,40,20378845.28484,1,no
233,6,0,7,1,9,2016,5,N,45,8864926.76299522,1,no
234,6,0,7,1,9,2016,5,N,50,3424312.10974334,1,no
235,6,0,7,1,9,2016,5,N,55,1224199.45790503,1,no
236,6,0,7,1,9,2016,5,N,60,414786.149482217,1,no
237,6,0,7,1,9,2016,5,N,65,135314.475439393,1,no
238,6,0,7,1,9,2016,5,N,70,43287.3167514271,1,no
239,6,0,7,1,9,2016,5,N,75,20105.8505678016,1,no
240,6,0,7,1,9,2017,3,D,40,54319110.3910678,1,no
241,6,0,7,1,9,2017,3,D,45,27815041.6943226,1,no
242,6,0,7,1,9,2017,3,D,50,12837417.2140393,1,no
243,6,0,7,1,9,2017,3,D,55,5300284.64233222,1,no
244,6,0,7,1,9,2017,3,D,60,2046485.48598944,1,no
245,6,0,7,1,9,2017,3,D,65,758644.781612476,1,no
246,6,0,7,1,9,2017,3,D,70,266934.719830268,1,no
247,6,0,7,1,9,2017,3,D,75,131272.194011066,1,no
248,6,0,7,1,9,2017,3,N,40,20583407.4885114,1,no
249,6,0,7,1,9,2017,3,N,45,9050046.49960835,1,no
250,6,0,7,1,9,2017,3,N,50,3612796.67826813,1,no
251,6,0,7,1,9,2017,3,N,55,1371060.45113429,1,no
252,6,0,7,1,9,2017,3,N,60,498236.12888838,1,no
253,6,0,7,1,9,2017,3,N,65,171242.084498845,1,no
254,6,0,7,1,9,2017,3,N,70,56227.2513486951,1,no
255,6,0,7,1,9,2017,3,N,75,26411.0751084508,1,no
256,6,0,7,1,9,2017,4,D,40,19025471.7012278,1,no
257,6,0,7,1,9,2017,4,D,45,8152770.89252176,1,no
258,6,0,7,1,9,2017,4,D,50,3089497.5905257,1,no
259,6,0,7,1,9,2017,4,D,55,1079609.89475511,1,no
260,6,0,7,1,9,2017,4,D,60,358499.282455094,1,no
261,6,0,7,1,9,2017,4,D,65,115623.826491584,1,no
262,6,0,7,1,9,2017,4,D,70,36816.402811003,1,no
263,6,0,7,1,9,2017,4,D,75,17069.516122994,1,no
264,6,0,7,1,9,2017,4,N,40,2098216.60204735,1,no
265,6,0,7,1,9,2017,4,N,45,715901.295915233,1,no
266,6,0,7,1,9,2017,4,N,50,234250.399050256,1,no
267,6,0,7,1,9,2017,4,N,55,75032.0961307718,1,no
268,6,0,7,1,9,2017,4,N,60,23830.1602234038,1,no
269,6,0,7,1,9,2017,4,N,65,7546.31344570603,1,no
270,6,0,7,1,9,2017,4,N,70,2387.41799493196,1,no
271,6,0,7,1,9,2017,4,N,75,1104.29514119849,1,no
272,6,0,7,1,9,2017,5,D,40,100190271.608503,1,no
273,6,0,7,1,9,2017,5,D,45,54445250.4885411,1,no
274,6,0,7,1,9,2017,5,D,50,27929051.2445778,1,no
275,6,0,7,1,9,2017,5,D,55,12852639.4983569,1,no
276,6,0,7,1,9,2017,5,D,60,5199272.3514076,1,no
277,6,0,7,1,9,2017,5,D,65,1913008.75419735,1,no
278,6,0,7,1,9,2017,5,D,70,662194.7850108,1,no
279,6,0,7,1,9,2017,5,D,75,322482.485153461,1,no
280,6,0,7,1,9,2017,5,N,40,20524217.4272582,1,no
