,ScenarioID,CountryID,Year,PSmall,PMedium,PLarge,CSmall,CMedium,CLarge,TPanel,TMedium,THeavy,TCarDerived,TPickup,TDrop,TBox,TOther
0,1,9,2012,0.144496947526932,0.29438990354538,0.0611131340265274,0.144496947526932,0.29438990354538,0.0611131340265274,0.0674170032143593,0.187288999557495,0.693570971488953,0.0182339996099472,0.0146340001374483,0.00579100009053946,0.00399299990385771,0.00907099992036819
1,1,9,2013,0.13927373290062,0.297422498464584,0.0633037686347961,0.13927373290062,0.297422498464584,0.0633037686347961,0.0688050463795662,0.186767444014549,0.691639602184296,0.018609419465065,0.0149352988228202,0.00591023080050945,0.0040752119384706,0.00925776269286871
2,1,9,2014,0.134207904338837,0.300279945135117,0.0655121430754662,0.134207904338837,0.300279945135117,0.0655121430754662,0.0705137103796005,0.186125427484512,0.68926203250885,0.0190715547651052,0.0153061943128705,0.00605700211599469,0.00417641317471862,0.00948766432702541
3,1,9,2015,0.129299908876419,0.302963942289352,0.0677361488342285,0.129299908876419,0.302963942289352,0.0677361488342285,0.070994570851326,0.185944750905037,0.688592910766602,0.0192016121000052,0.0154105722904205,0.00609830720350146,0.00420489395037293,0.00955236423760653
4,1,9,2016,0.124549634754658,0.305476665496826,0.0699736922979355,0.124549634754658,0.305476665496826,0.0699736922979355,0.0733054280281067,0.18507644534111,0.685377478599548,0.0198266189545393,0.0159121826291084,0.00629680557176471,0.004341762047261,0.00986329186707735
5,1,9,2017,0.119956403970718,0.30782088637352,0.0722227096557617,0.119956403970718,0.30782088637352,0.0722227096557617,0.0742782428860664,0.184710919857025,0.684023797512054,0.0200897324830294,0.0161233488470316,0.00638036848977208,0.00439938064664602,0.00999418459832668
6,1,9,2018,0.115519106388092,0.309999704360962,0.074481189250946,0.115519106388092,0.309999704360962,0.074481189250946,0.0747850090265274,0.184520497918129,0.683318674564362,0.0202267952263355,0.0162333510816097,0.0064238989725709,0.00442939531058073,0.0100623704493046
7,1,9,2019,0.111236155033112,0.312016695737839,0.0767471343278885,0.111236155033112,0.312016695737839,0.0767471343278885,0.076036773622036,0.184050157666206,0.681576907634735,0.0205653551965952,0.0165050681680441,0.00653142295777798,0.00450353510677814,0.0102307954803109
8,1,9,2020,0.10710559040308,0.313875794410706,0.079018622636795,0.10710559040308,0.313875794410706,0.079018622636795,0.0772827416658401,0.183581992983818,0.679843187332153,0.0209023468196392,0.0167755261063576,0.00663844961673021,0.0045773321762681,0.0103984419256449
9,1,9,2021,0.103125087916851,0.315581172704697,0.0812937468290329,0.103125087916851,0.315581172704697,0.0812937468290329,0.0779495239257813,0.183331459760666,0.67891538143158,0.0210826881229877,0.0169202610850334,0.0066957245580852,0.0046168239787221,0.0104881571605802
10,1,9,2022,0.0992920398712158,0.31713730096817,0.0835706517100334,0.0992920398712158,0.31713730096817,0.0835706517100334,0.0786137282848358,0.18308188021183,0.677991151809692,0.0212623327970505,0.0170644391328096,0.00675277877599001,0.00465616397559643,0.0105775268748403
11,1,9,2023,0.0956035479903221,0.318548917770386,0.0858475491404533,0.0956035479903221,0.318548917770386,0.0858475491404533,0.0792753770947456,0.182833269238472,0.677070498466492,0.0214412864297628,0.0172080621123314,0.00680961366742849,0.00469535263255239,0.0106665519997478
12,1,9,2024,0.0920564830303192,0.319820821285248,0.0881226807832718,0.0920564830303192,0.319820821285248,0.0881226807832718,0.0799344852566719,0.18258561193943,0.676153361797333,0.0216195546090603,0.0173511318862438,0.00686622969806194,0.00473439041525126,0.0107552362605929
13,1,9,2025,0.0886475443840027,0.320958107709885,0.0903943404555321,0.0886475443840027,0.320958107709885,0.0903943404555321,0.0805910676717758,0.182338908314705,0.675239741802216,0.0217971373349428,0.0174936559051275,0.00692262919619679,0.00477327918633819,0.0108435796573758
14,1,9,2026,0.0853732526302338,0.321965873241425,0.0926608741283417,0.0853732526302338,0.321965873241425,0.0926608741283417,0.0812095478177071,0.182106509804726,0.674379169940948,0.0219644140452147,0.0176279060542583,0.00697575509548187,0.00480991043150425,0.0109267961233854
15,1,9,2027,0.0822300091385841,0.322849333286285,0.0949206724762917,0.0822300091385841,0.322849333286285,0.0949206724762917,0.0818240717053413,0.181875616312027,0.673524081707001,0.0221306215971708,0.0177612975239754,0.0070285415276885,0.0048463074490428,0.0110094798728824
16,1,9,2028,0.0792141035199165,0.323613703250885,0.0971721783280373,0.0792141035199165,0.323613703250885,0.0971721783280373,0.0824346765875816,0.181646183133125,0.672674417495728,0.0222957693040371,0.0178938396275043,0.00708099128678441,0.00488247256726027,0.0110916374251246
17,1,9,2029,0.0763217806816101,0.324264317750931,0.0994138941168785,0.0763217806816101,0.324264317750931,0.0994138941168785,0.0830413997173309,0.181418210268021,0.671830177307129,0.0224598683416843,0.0180255398154259,0.00713310809805989,0.00491840811446309,0.0111732734367251
18,1,9,2030,0.073549211025238,0.324806451797485,0.101644337177277,0.073549211025238,0.324806451797485,0.101644337177277,0.0836442857980728,0.181191667914391,0.67099130153656,0.0226229280233383,0.0181564074009657,0.00718489475548267,0.00495411595329642,0.0112543916329741
19,1,9,2031,0.0708925649523735,0.325245320796967,0.103862106800079,0.0708925649523735,0.325245320796967,0.103862106800079,0.0843794345855713,0.18091544508934,0.669968366622925,0.0228217616677284,0.0183159839361906,0.00724804308265448,0.00499765761196613,0.0113533064723015
