,CountryID,PolicyID,Year,VehTypeID,FuelID,FuelTax
0,9,0,2012,2,1,0.293999999761581
1,9,0,2012,2,12,0.0
2,9,0,2012,3,1,0.293999999761581
3,9,0,2012,3,2,0.293999999761581
4,9,0,2012,3,5,0.0504000000655651
5,9,0,2012,3,7,0.493999987840652
6,9,0,2012,3,8,0.493999987840652
7,9,0,2012,3,10,0.00150000001303852
8,9,0,2012,3,12,0.0
9,9,0,2012,3,14,0.0
10,9,0,2012,4,1,0.293999999761581
11,9,0,2012,4,2,0.293999999761581
12,9,0,2012,4,5,0.0504000000655651
13,9,0,2012,4,7,0.493999987840652
14,9,0,2012,4,8,0.493999987840652
15,9,0,2012,4,10,0.00150000001303852
16,9,0,2012,4,12,0.0
17,9,0,2012,4,13,0.0
18,9,0,2012,5,1,0.293999999761581
19,9,0,2012,5,2,0.293999999761581
20,9,0,2012,5,5,0.0504000000655651
21,9,0,2012,5,7,0.493999987840652
22,9,0,2012,5,8,0.493999987840652
23,9,0,2012,5,10,0.00150000001303852
24,9,0,2012,5,12,0.0
25,9,0,2012,5,14,0.0
26,9,0,2012,6,2,0.0753000006079674
27,9,0,2012,6,12,-0.0399999991059303
28,9,0,2012,7,2,0.0753000006079674
29,9,0,2012,8,12,0.0
30,9,0,2012,8,15,0.0
31,9,0,2013,2,1,0.293999999761581
32,9,0,2013,2,12,0.0
33,9,0,2013,3,1,0.293999999761581
34,9,0,2013,3,2,0.293999999761581
35,9,0,2013,3,5,0.0504000000655651
36,9,0,2013,3,7,0.493999987840652
37,9,0,2013,3,8,0.493999987840652
38,9,0,2013,3,10,0.00150000001303852
39,9,0,2013,3,12,0.0
40,9,0,2013,3,14,0.0
41,9,0,2013,4,1,0.293999999761581
42,9,0,2013,4,2,0.293999999761581
43,9,0,2013,4,5,0.0504000000655651
44,9,0,2013,4,7,0.493999987840652
45,9,0,2013,4,8,0.493999987840652
46,9,0,2013,4,10,0.00150000001303852
47,9,0,2013,4,12,0.0
48,9,0,2013,4,13,0.0
49,9,0,2013,5,1,0.293999999761581
50,9,0,2013,5,2,0.293999999761581
51,9,0,2013,5,5,0.0504000000655651
52,9,0,2013,5,7,0.493999987840652
53,9,0,2013,5,8,0.493999987840652
54,9,0,2013,5,10,0.00150000001303852
55,9,0,2013,5,12,0.0
56,9,0,2013,5,14,0.0
57,9,0,2013,6,2,0.0753000006079674
58,9,0,2013,6,12,-0.0399999991059303
59,9,0,2013,7,2,0.0753000006079674
60,9,0,2013,8,12,0.0
61,9,0,2013,8,15,0.0
62,9,0,2014,2,1,0.293999999761581
63,9,0,2014,2,12,0.0
64,9,0,2014,3,1,0.293999999761581
65,9,0,2014,3,2,0.293999999761581
66,9,0,2014,3,5,0.0504000000655651
67,9,0,2014,3,7,0.493999987840652
68,9,0,2014,3,8,0.493999987840652
69,9,0,2014,3,10,0.00150000001303852
70,9,0,2014,3,12,0.0
71,9,0,2014,3,14,0.0
72,9,0,2014,4,1,0.293999999761581
73,9,0,2014,4,2,0.293999999761581
74,9,0,2014,4,5,0.0504000000655651
75,9,0,2014,4,7,0.493999987840652
76,9,0,2014,4,8,0.493999987840652
77,9,0,2014,4,10,0.00150000001303852
78,9,0,2014,4,12,0.0
79,9,0,2014,4,13,0.0
80,9,0,2014,5,1,0.293999999761581
81,9,0,2014,5,2,0.293999999761581
82,9,0,2014,5,5,0.0504000000655651
83,9,0,2014,5,7,0.493999987840652
84,9,0,2014,5,8,0.493999987840652
85,9,0,2014,5,10,0.00150000001303852
86,9,0,2014,5,12,0.0
87,9,0,2014,5,14,0.0
88,9,0,2014,6,2,0.0753000006079674
89,9,0,2014,6,12,-0.0399999991059303
90,9,0,2014,7,2,0.0753000006079674
91,9,0,2014,8,12,0.0
92,9,0,2014,8,15,0.0
93,9,0,2015,2,1,0.293999999761581
94,9,0,2015,2,12,0.0
95,9,0,2015,2,13,0.0
96,9,0,2015,3,1,0.293999999761581
97,9,0,2015,3,2,0.293999999761581
98,9,0,2015,3,5,0.0504000000655651
99,9,0,2015,3,7,0.493999987840652
100,9,0,2015,3,8,0.493999987840652
101,9,0,2015,3,10,0.00150000001303852
102,9,0,2015,3,12,0.0
103,9,0,2015,3,13,0.0
104,9,0,2015,3,14,0.0
105,9,0,2015,4,1,0.293999999761581
106,9,0,2015,4,2,0.293999999761581
107,9,0,2015,4,5,0.0504000000655651
108,9,0,2015,4,7,0.493999987840652
109,9,0,2015,4,8,0.493999987840652
110,9,0,2015,4,10,0.00150000001303852
111,9,0,2015,4,12,0.0
112,9,0,2015,4,13,0.0
113,9,0,2015,5,1,0.293999999761581
114,9,0,2015,5,2,0.293999999761581
115,9,0,2015,5,5,0.0504000000655651
116,9,0,2015,5,7,0.493999987840652
117,9,0,2015,5,8,0.493999987840652
118,9,0,2015,5,10,0.00150000001303852
119,9,0,2015,5,12,0.0
120,9,0,2015,5,14,0.0
121,9,0,2015,6,2,0.0753000006079674
122,9,0,2015,6,12,-0.0399999991059303
123,9,0,2015,7,2,0.0753000006079674
124,9,0,2015,8,12,0.0
125,9,0,2015,8,15,0.0
126,9,0,2016,2,1,0.293999999761581
127,9,0,2016,2,12,0.0
128,9,0,2016,2,13,0.0
129,9,0,2016,3,1,0.293999999761581
130,9,0,2016,3,2,0.293999999761581
131,9,0,2016,3,5,0.0504000000655651
132,9,0,2016,3,7,0.493999987840652
133,9,0,2016,3,8,0.493999987840652
134,9,0,2016,3,10,0.00150000001303852
135,9,0,2016,3,12,0.0
136,9,0,2016,3,13,0.0
137,9,0,2016,3,14,0.0
138,9,0,2016,4,1,0.293999999761581
139,9,0,2016,4,2,0.293999999761581
140,9,0,2016,4,5,0.0504000000655651
141,9,0,2016,4,7,0.493999987840652
142,9,0,2016,4,8,0.493999987840652
143,9,0,2016,4,10,0.00150000001303852
144,9,0,2016,4,12,0.0
145,9,0,2016,4,13,0.0
146,9,0,2016,5,1,0.293999999761581
147,9,0,2016,5,2,0.293999999761581
148,9,0,2016,5,5,0.0504000000655651
149,9,0,2016,5,7,0.493999987840652
