,ScenarioID,CountryID,Year,AvailableVehiclesID,MassCatID,PurchasePriceFactor,ExpCostFactor
161,1,9,2065,4,3,1,10
162,1,9,2066,4,1,1,10
163,1,9,2066,4,2,1,10
164,1,9,2066,4,3,1,10
165,1,9,2067,4,1,1,10
166,1,9,2067,4,2,1,10
167,1,9,2067,4,3,1,10
168,1,9,2068,4,1,1,10
169,1,9,2068,4,2,1,10
170,1,9,2068,4,3,1,10
171,1,9,2069,4,1,1,10
172,1,9,2069,4,2,1,10
173,1,9,2069,4,3,1,10
174,1,9,2070,4,1,1,10
175,1,9,2070,4,2,1,10
176,1,9,2070,4,3,1,10
177,1,9,2071,4,1,1,10
178,1,9,2071,4,2,1,10
179,1,9,2071,4,3,1,10
180,1,9,2072,4,1,1,10
181,1,9,2072,4,2,1,10
182,1,9,2072,4,3,1,10
183,1,9,2073,4,1,1,10
184,1,9,2073,4,2,1,10
185,1,9,2073,4,3,1,10
186,1,9,2074,4,1,1,10
187,1,9,2074,4,2,1,10
188,1,9,2074,4,3,1,10
189,1,9,2075,4,1,1,10
190,1,9,2075,4,2,1,10
191,1,9,2075,4,3,1,10
192,1,9,2076,4,1,1,10
193,1,9,2076,4,2,1,10
194,1,9,2076,4,3,1,10
195,1,9,2077,4,1,1,10
196,1,9,2077,4,2,1,10
197,1,9,2077,4,3,1,10
198,1,9,2078,4,1,1,10
199,1,9,2078,4,2,1,10
200,1,9,2078,4,3,1,10
201,1,9,2079,4,1,1,10
202,1,9,2079,4,2,1,10
203,1,9,2079,4,3,1,10
204,1,9,2080,4,1,1,10
205,1,9,2080,4,2,1,10
206,1,9,2080,4,3,1,10
207,1,9,2081,4,1,1,10
208,1,9,2081,4,2,1,10
209,1,9,2081,4,3,1,10
210,1,9,2082,4,1,1,10
211,1,9,2082,4,2,1,10
212,1,9,2082,4,3,1,10
213,1,9,2083,4,1,1,10
214,1,9,2083,4,2,1,10
215,1,9,2083,4,3,1,10
216,1,9,2084,4,1,1,10
217,1,9,2084,4,2,1,10
218,1,9,2084,4,3,1,10
219,1,9,2085,4,1,1,10
220,1,9,2085,4,2,1,10
221,1,9,2085,4,3,1,10
222,1,9,2086,4,1,1,10
223,1,9,2086,4,2,1,10
224,1,9,2086,4,3,1,10
225,1,9,2087,4,1,1,10
226,1,9,2087,4,2,1,10
227,1,9,2087,4,3,1,10
228,1,9,2088,4,1,1,10
229,1,9,2088,4,2,1,10
230,1,9,2088,4,3,1,10
231,1,9,2089,4,1,1,10
232,1,9,2089,4,2,1,10
233,1,9,2089,4,3,1,10
234,1,9,2090,4,1,1,10
235,1,9,2090,4,2,1,10
236,1,9,2090,4,3,1,10
237,1,9,2091,4,1,1,10
238,1,9,2091,4,2,1,10
239,1,9,2091,4,3,1,10
240,1,9,2092,4,1,1,10
241,1,9,2092,4,2,1,10
242,1,9,2092,4,3,1,10
243,1,9,2093,4,1,1,10
244,1,9,2093,4,2,1,10
245,1,9,2093,4,3,1,10
246,1,9,2094,4,1,1,10
247,1,9,2094,4,2,1,10
248,1,9,2094,4,3,1,10
249,1,9,2095,4,1,1,10
250,1,9,2095,4,2,1,10
251,1,9,2095,4,3,1,10
252,1,9,2096,4,1,1,10
253,1,9,2096,4,2,1,10
254,1,9,2096,4,3,1,10
255,1,9,2097,4,1,1,10
256,1,9,2097,4,2,1,10
257,1,9,2097,4,3,1,10
258,1,9,2098,4,1,1,10
259,1,9,2098,4,2,1,10
260,1,9,2098,4,3,1,10
261,1,9,2099,4,1,1,10
262,1,9,2099,4,2,1,10
263,1,9,2099,4,3,1,10
264,1,9,2100,4,1,1,10
265,1,9,2100,4,2,1,10
266,1,9,2100,4,3,1,10
