,ScenarioID,CountryID,TechID,Year,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
85,1,9,30,2012,11,1,2,4,11,1,21716.126953125
86,1,9,30,2012,12,1,2,4,11,1,7607.88134765625
87,1,9,30,2013,3,1,2,4,11,1,15225.291015625
88,1,9,30,2013,4,1,2,4,11,1,164706.609375
89,1,9,30,2013,5,1,2,4,11,1,29681.333984375
90,1,9,30,2013,6,1,2,4,11,1,184735.34375
91,1,9,30,2013,7,1,2,4,11,1,22300.376953125
92,1,9,30,2013,8,1,2,4,11,1,54002.25
93,1,9,30,2013,9,1,2,4,11,1,122501.0546875
94,1,9,30,2013,10,1,2,4,11,1,23079.5078125
95,1,9,30,2013,11,1,2,4,11,1,24139.8828125
96,1,9,30,2013,12,1,2,4,11,1,10888.595703125
97,1,9,30,2013,13,1,2,4,11,1,3176.65966796875
98,1,9,40,2012,0,1,2,4,12,1,154185.90625
99,1,9,40,2012,1,1,2,4,12,1,149444.796875
100,1,9,40,2012,2,1,2,4,12,1,24967.81640625
101,1,9,40,2013,0,1,2,4,12,1,77446.3046875
102,1,9,40,2013,1,1,2,4,12,1,152858.28125
103,1,9,40,2013,2,1,2,4,12,1,146956.3125
104,1,9,40,2013,3,1,2,4,12,1,24237.732421875
105,1,9,70,2012,17,1,3,1,1,1,36047.2109375
106,1,9,70,2012,18,1,3,1,1,1,14382.693359375
107,1,9,70,2012,19,1,3,1,1,1,4565.7763671875
108,1,9,70,2012,20,1,3,1,1,1,1060.07287597656
109,1,9,70,2012,21,1,3,1,1,1,196.121551513672
110,1,9,70,2012,22,1,3,1,1,1,30.3867855072021
111,1,9,70,2012,23,1,3,1,1,1,2.66299152374268
112,1,9,70,2012,24,1,3,1,1,1,0.109958723187447
113,1,9,70,2012,25,1,3,1,1,1,0.00219595083035529
114,1,9,70,2012,26,1,3,1,1,1,2.04142270376906e-05
115,1,9,70,2012,27,1,3,1,1,1,7.94283465666012e-08
116,1,9,70,2012,28,1,3,1,1,1,1.03808676932271e-10
117,1,9,70,2012,29,1,3,1,1,1,4.27340522452142e-14
118,1,9,70,2012,30,1,3,1,1,1,3.6364832553592e-18
119,1,9,70,2012,31,1,3,1,1,1,6.62052524448693e-23
120,1,9,70,2012,32,1,3,1,1,1,2.02231768253771e-28
121,1,9,70,2012,33,1,3,1,1,1,7.25623651404538e-35
122,1,9,70,2013,18,1,3,1,1,1,15526.318359375
123,1,9,70,2013,19,1,3,1,1,1,4930.29248046875
124,1,9,70,2013,20,1,3,1,1,1,1185.55798339844
125,1,9,70,2013,21,1,3,1,1,1,196.831329345703
126,1,9,70,2013,22,1,3,1,1,1,24.3565998077393
127,1,9,70,2013,23,1,3,1,1,1,2.33689618110657
128,1,9,70,2013,24,1,3,1,1,1,0.116083949804306
129,1,9,70,2013,25,1,3,1,1,1,0.00245578307658434
130,1,9,70,2013,26,1,3,1,1,1,2.2398095097742e-05
