,Parking Category,North EastUrban,North EastRural,North WestUrban,North WestRural,Yorkshire and the HumberUrban,Yorkshire and the HumberRural,East MidlandsUrban,East MidlandsRural,West MidlandsUrban,West MidlandsRural,East of EnglandUrban,East of EnglandRural,LondonUrban,LondonRural,South EastUrban,South EastRural,AllUrban,AllRural
0,Private property (not garaged),48.38343732274532,55.81171950048031,56.78224687933426,62.23934723481414,54.98070601686437,65.97894736842105,60.3439554881133,65.06870229007633,64.14473684210526,70.69499778663125,57.32355173286112,66.74630755864466,45.893960534183776,65.51724137931035,58.806404657933044,65.68291008922444,55.832374934267555,64.71752165095032
1,Street,30.544526375496314,22.478386167146976,27.82246879334258,16.455122393472347,26.025439474060313,10.947368421052632,20.45186309222728,10.412213740458014,18.153021442495128,7.746790615316511,22.337465216291424,9.947871416159861,41.26968307753638,15.517241379310345,22.634643377001456,11.30176161061542,26.15488885605636,13.100844467941513
2,Garage,18.406125921724332,19.6926032660903,12.954230235783633,18.812330009066184,16.549949978562243,20.54736842105263,16.169280053953802,22.198473282442748,15.021929824561404,18.326693227091635,16.51909941816342,20.22154648132059,10.125573051624476,18.96551724137931,15.211062590975255,20.20132692747655,15.119656384418569,19.870732356989993
3,Other,2.212138400453772,1.344860710854947,2.034211742949607,2.130553037171351,2.0580248678004858,2.0210526315789474,2.4785027819929186,2.015267175572519,2.326998050682261,2.7445772465692784,3.389830508474576,2.7584708948740224,2.4217659956149094,0.0,3.005822416302766,2.493708533516358,2.490911845533912,1.938561278767178
4,Not near home,0.45377197958026094,0.6724303554274735,0.4068423485899214,0.3626473254759746,0.3858796627125911,0.5052631578947369,0.556398583712696,0.3053435114503817,0.3533138401559454,0.4869411243913236,0.4300531242094612,0.32580364900086883,0.28901734104046245,0.0,0.3420669577874818,0.3202928391672386,0.4021679797236025,0.37234024535099974
5,All off-street,66.78956324446966,75.50432276657061,69.73647711511789,81.05167724388032,71.53065599542661,86.52631578947367,76.51323554206711,87.26717557251908,79.16666666666666,89.02169101372289,73.84265115102454,86.96785403996525,56.019533585808254,84.48275862068965,74.0174672489083,85.88423701670098,70.95203131868612,84.58825400794031
6,All on-street,33.210436755530345,24.495677233429397,30.26352288488211,18.948322756119673,28.46934400457339,13.473684210526317,23.486764457932896,12.732824427480914,20.833333333333332,10.978308986277113,26.157348848975463,13.032145960034754,43.98046641419175,15.517241379310345,25.982532751091703,14.115762983299017,29.047968681313876,15.41174599205969
