,ScenarioID,CountryID,Year,NHH_GR,PassTransIntensity,FreightTransIntensity,ShDe_PassPrivCar,ShDe_PassPublicTrans,ShDe_PassPlane,ShDe_FreightTransRoad,ShDe_FreightTransRail,ShTrip_CarU,ShTrip_CarR,ShTrip_CarH,FreightTrans_EU_CEC,P_NM_a_GDP,P_Bic_a_GDP,P_Moto_a_GDP,P_CAR_a_GDP,P_BUS_a_GDP,P_TRAIN_a_GDP,P_PLANE_a_GDP,F_TRUCK_a_GDP,F_TRAIN_a_GDP,F_SHIP_I_a_GDP,F_SHIP_C_a_GDP,F_SHIP_M_a_GDP,F_Plane_a_GDP,P_NM_a_NHH,P_Bic_a_NHH,P_Moto_a_NHH,P_CAR_a_NHH,P_BUS_a_NHH,P_TRAIN_a_NHH,P_PLANE_a_NHH,F_TRUCK_a_NHH,F_TRAIN_a_NHH,F_SHIP_I_a_NHH,F_SHIP_C_a_NHH,F_SHIP_M_a_NHH,F_Plane_a_NHH,Q_Car_U,Q_Car_R,Q_Car_M,Q_Moto_U,Q_Moto_R,Q_Moto_M,Q_BUS_U,Q_BUS_R,Q_BUS_M,Q_Train_U,Q_Train_R,Q_Train_IC,Q_Train_HSR,Q_Truck_U,Q_Truck_R,Q_Truck_M,Q_PlaneP_D,Q_PlaneP_I,Q_PlaneF_D,Q_PlaneF_I,ATL_Car_u,ATL_Car_r,ATL_Car_m,ATL_Bus_u,ATL_Bus_r,ATL_Bus_m,ATL_Moto_u,ATL_Moto_r,ATL_Moto_m,ATL_P_Plane_C,ATL_Truck_u,ATL_Truck_r,ATL_Truck_m,ATL_F_Plane_C,CEDP_Total,CEDP_Car,CEDP_BUS,CEDP_Train,CEDP_Plane,CEDF_Total,CEDF_Truck,CEDF_Ship_i,CEDF_Train,CEDF_Plane
0,1,9,2012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,18.85,4.19,5.1,609.02,46.78,65.6,300.33,161.916,18.85,1.4,34.689,0.0,7.066,,,,,,,,,,,,,,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
1,1,9,2013,0.204867035150528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.5,0.3,0.3,-0.3,0.5,0.5,0.8,0.8,-0.1,-0.1,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
2,1,9,2014,0.342532724142075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.497701149425287,0.497701149425287,0.297701149425287,0.297701149425287,-0.297701149425287,0.497701149425287,0.497701149425287,0.796551724137931,0.796551724137931,-0.1,-0.1,0.796551724137931,0.796551724137931,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
3,1,9,2015,1.21944630146027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.495402298850575,0.495402298850575,0.295402298850575,0.295402298850575,-0.295402298850575,0.495402298850575,0.495402298850575,0.793103448275862,0.793103448275862,-0.1,-0.1,0.793103448275862,0.793103448275862,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
4,1,9,2016,0.402654081583023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.493103448275862,0.493103448275862,0.293103448275862,0.293103448275862,-0.293103448275862,0.493103448275862,0.493103448275862,0.789655172413793,0.789655172413793,-0.1,-0.1,0.789655172413793,0.789655172413793,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
5,1,9,2017,0.176215589046478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.490804597701149,0.490804597701149,0.290804597701149,0.290804597701149,-0.290804597701149,0.490804597701149,0.490804597701149,0.786206896551724,0.786206896551724,-0.1,-0.1,0.786206896551724,0.786206896551724,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
6,1,9,2018,1.0223240852356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.488505747126437,0.488505747126437,0.288505747126437,0.288505747126437,-0.288505747126437,0.488505747126437,0.488505747126437,0.782758620689655,0.782758620689655,-0.1,-0.1,0.782758620689655,0.782758620689655,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
7,1,9,2019,0.972148418426514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.486206896551724,0.486206896551724,0.286206896551724,0.286206896551724,-0.286206896551724,0.486206896551724,0.486206896551724,0.779310344827586,0.779310344827586,-0.1,-0.1,0.779310344827586,0.779310344827586,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
8,1,9,2020,0.662512838840485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.483908045977012,0.483908045977012,0.283908045977012,0.283908045977012,-0.283908045977012,0.483908045977012,0.483908045977012,0.775862068965517,0.775862068965517,-0.1,-0.1,0.775862068965517,0.775862068965517,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
9,1,9,2021,0.446428567171097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.481609195402299,0.481609195402299,0.281609195402299,0.281609195402299,-0.281609195402299,0.481609195402299,0.481609195402299,0.772413793103448,0.772413793103448,-0.1,-0.1,0.772413793103448,0.772413793103448,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.402428833,0.414228178,0.183342989,0.535175308,0.390555374,0.074269318,1.0,1.0,1.0,0.163182703,0.527194897,0.2946224,0.015,0.39249,0.41191,0.1956,1.0,1.0,0.004335,0.995665,5,8.39999961853027,15.1999998092651,8.20590019226074,21.2388000488281,158.164703369141,10.4584999084473,17.5541896820068,32.019100189209,3118.19995117188,10,50,100,3260,0.379999995231628,0.595000028610229,0.280000001192093,0.259999990463257,0.703999996185303,0.699999988079071,0.899999976158142,0.899999976158142,1.20000004768372,0.899999976158142
