,TDVSID,ScenarioID,CountryID,Year,TechID,FuelID,flag,NumVeh,VehKM,TransFlow,VehKM_pctJST1,VehKM_pctJST2,VehKM_pctJST3,VehKM_pctJST5,VehKM_pctJST6,VehKM_pctJST7,VehKM_pctJST8,VehKM_pctJST9,AveTripLength,AveTripLength_JST1,AveTripLength_JST2,AveTripLength_JST3,AveTripNumber,AveTripNumber_JST1,AveTripNumber_JST2,AveTripNumber_JST3,LoadFactor,LoadFactor_JST1,LoadFactor_JST2,LoadFactor_JST3,LoadFactor_JST5,LoadFactor_JST6,LoadFactor_JST7,VehKM_pctJST1_c,VehKM_pctJST2_c,VehKM_pctJST3_c
0,0,1,9,2012,10,1,1,11580.5034102905,46936482.4239165,46.9364824239165,53.5175318169631,39.0555361898543,7.4269319931826,,,,,,,10.4584999084473,17.5541896820068,32.019100189209,,2401802.08776348,1044268.93017494,108870.661855489,,0.5,0.5,0.5,,,,47.808003478219,28.4832287366989,15.6156792990863
1,0,1,9,2012,20,12,1,0.0121773041716722,49.3553515834577,4.93553515834577e-05,53.5175306217259,39.0555371778144,7.42693220045968,,,,,,,10.4584999084473,17.5541896820068,32.019100189209,,2.52557877595842,1.09808530248915,0.114481308898158,,0.5,0.5,0.5,,,,47.808003478219,28.4832287366989,15.6156792990863
2,0,1,9,2012,25,12,1,631.415147781372,2559163.97145484,2.55916397145484,53.5175300876256,39.0555385200197,7.42693139235466,,,,,,,10.4584999084473,17.5541896820068,32.019100189209,,130955.812057597,56937.7048310296,5936.06163991659,,0.5,0.5,0.5,,,,47.808003478219,28.4832287366989,15.6156792990863
3,0,1,9,2012,30,1,1,794134.308105469,3218674585.2232,3218.6745852232,53.517530738604,39.0555375297113,7.42693173168467,,,,,,,10.4584999084473,17.5541896820068,32.019100189209,,164703846.211364,71610862.3276204,7465817.67435723,,0.5,0.5,0.5,,,,47.808003478219,28.4832287366989,15.6156792990863
4,0,1,9,2012,40,1,1,328598.51953125,1331829786.30066,1331.82978630066,53.517530749097,39.0555376838112,7.42693156709181,,,,,,,10.4584999084473,17.5541896820068,32.019100189209,,68151496.0700429,29631289.9367857,3089221.31584544,,0.5,0.5,0.5,,,,47.808003478219,28.4832287366989,15.6156792990863
5,0,1,9,2012,70,1,1,56285.0370437515,418137498.19994,716.020487541194,40.2428838947807,41.4228174549613,18.334298650258,,,,,,,5.0,8.39999961853027,15.1999998092651,,33654117.5842285,20619564.3399813,5043590.7007028,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
6,0,1,9,2012,80,1,1,1805923.96875,21113201141.3574,36154.3383214135,40.2428840303691,41.4228172119206,18.3342987577102,,,,,,,5.0,8.39999961853027,15.1999998092651,,1699312210.08301,1041152751.61165,254668251.52282,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
7,0,1,9,2012,90,1,1,25974.4979661615,192962680.011988,330.430140358693,40.2428818473291,41.4228187271619,18.334299425509,,,,,,,5.0,8.39999961853027,15.1999998092651,,15530748.6653328,9515545.80742045,2327523.41952793,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
8,0,1,9,2012,100,1,1,935994.5390625,7680146932.60193,13151.5173232326,40.2428830388946,41.4228182269131,18.3342987341923,,,,,,,5.0,8.39999961853027,15.1999998092651,,618142509.460449,378730172.372099,92638230.2314135,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
9,0,1,9,2012,110,1,1,2103374.9375,19474525690.0787,33348.2632848586,40.2428826464399,41.4228183045434,18.3342990490166,,,,,,,5.0,8.39999961853027,15.1999998092651,,1567422103.88184,960344971.263748,234902488.368467,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
10,0,1,9,2012,120,1,1,1737260.15625,18147732019.4244,31076.255978606,40.2428836461923,41.4228181694509,18.3342981843569,,,,,,,5.0,8.39999961853027,15.1999998092651,,1460634136.19995,894916949.722515,218898641.045453,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
11,0,1,9,2012,130,1,1,72779.1400120205,637614637.613297,1091.85410457727,40.2428824166922,41.4228188283348,18.334298754973,,,,,,,5.0,8.39999961853027,15.1999998092651,,51318901.7772675,31442615.2566553,7690932.50213087,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
12,0,1,9,2012,140,1,1,2691198.0625,40433699131.012,69238.8438958841,40.2428837916414,41.422817475239,18.3342987331196,,,,,,,5.0,8.39999961853027,15.1999998092651,,3254337310.79102,1993902160.73091,487712847.404892,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
13,0,1,9,2012,150,1,1,33586.2208476807,294247299.432755,503.870367294293,40.2428833072141,41.4228179612877,18.3342987314982,,,,,,,5.0,8.39999961853027,15.1999998092651,,23682719.4690704,14510181.9922893,3549222.3397584,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
14,0,1,9,2012,160,1,1,982772.6796875,9681517362.5946,16578.6728335682,40.2428833665495,41.4228186524532,18.3342979809973,,,,,,,5.0,8.39999961853027,15.1999998092651,,779224348.068237,477423519.289994,116778833.198282,,0.342480878,0.342480878,0.342480878,,,,100.0,59.5238122269681,32.8947372548798
