,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
150,1,9,2018,6,1,0.990297343992831
151,1,9,2018,6,2,0.990297343992831
152,1,9,2018,6,3,0.990297343992831
153,1,9,2018,7,4,1.0
154,1,9,2018,7,10,1.0
155,1,9,2018,7,11,1.0
156,1,9,2018,7,12,1.0
157,1,9,2018,8,4,1.0
158,1,9,2018,8,10,1.0
159,1,9,2018,8,11,1.0
160,1,9,2018,8,12,1.0
161,1,9,2018,9,5,1.0
162,1,9,2018,9,6,1.0
163,1,9,2018,9,7,1.0
164,1,9,2018,10,9,1.0
165,1,9,2018,10,13,1.0
166,1,9,2018,11,9,1.0
167,1,9,2018,11,13,1.0
168,1,9,2019,4,1,0.962803417072987
169,1,9,2019,4,2,0.962803417072987
170,1,9,2019,4,3,0.962803417072987
171,1,9,2019,5,1,1.20833010081351
172,1,9,2019,5,2,1.20833010081351
173,1,9,2019,5,3,1.20833010081351
174,1,9,2019,6,1,0.990297343992831
175,1,9,2019,6,2,0.990297343992831
176,1,9,2019,6,3,0.990297343992831
177,1,9,2019,7,4,1.0
178,1,9,2019,7,10,1.0
179,1,9,2019,7,11,1.0
180,1,9,2019,7,12,1.0
181,1,9,2019,8,4,1.0
182,1,9,2019,8,10,1.0
183,1,9,2019,8,11,1.0
184,1,9,2019,8,12,1.0
185,1,9,2019,9,5,1.0
186,1,9,2019,9,6,1.0
187,1,9,2019,9,7,1.0
188,1,9,2019,10,9,1.0
189,1,9,2019,10,13,1.0
190,1,9,2019,11,9,1.0
191,1,9,2019,11,13,1.0
192,1,9,2020,4,1,0.963068360036281
193,1,9,2020,4,2,0.963068360036281
194,1,9,2020,4,3,0.963068360036281
195,1,9,2020,5,1,1.20833010081351
196,1,9,2020,5,2,1.20833010081351
197,1,9,2020,5,3,1.20833010081351
198,1,9,2020,6,1,0.990297343992831
199,1,9,2020,6,2,0.990297343992831
200,1,9,2020,6,3,0.990297343992831
201,1,9,2020,7,4,1.0
202,1,9,2020,7,10,1.0
203,1,9,2020,7,11,1.0
204,1,9,2020,7,12,1.0
205,1,9,2020,8,4,1.0
206,1,9,2020,8,10,1.0
207,1,9,2020,8,11,1.0
208,1,9,2020,8,12,1.0
209,1,9,2020,9,5,1.0
210,1,9,2020,9,6,1.0
211,1,9,2020,9,7,1.0
212,1,9,2020,10,9,1.0
213,1,9,2020,10,13,1.0
214,1,9,2020,11,9,1.0
215,1,9,2020,11,13,1.0
216,1,9,2021,4,1,0.963315632485783
217,1,9,2021,4,2,0.963315632485783
218,1,9,2021,4,3,0.963315632485783
219,1,9,2021,5,1,1.20833010081351
220,1,9,2021,5,2,1.20833010081351
221,1,9,2021,5,3,1.20833010081351
222,1,9,2021,6,1,0.990297343992831
223,1,9,2021,6,2,0.990297343992831
224,1,9,2021,6,3,0.990297343992831
225,1,9,2021,7,4,1.0
226,1,9,2021,7,10,1.0
227,1,9,2021,7,11,1.0
228,1,9,2021,7,12,1.0
229,1,9,2021,8,4,1.0
230,1,9,2021,8,10,1.0
231,1,9,2021,8,11,1.0
232,1,9,2021,8,12,1.0
233,1,9,2021,9,5,1.0
234,1,9,2021,9,6,1.0
235,1,9,2021,9,7,1.0
236,1,9,2021,10,9,1.0
237,1,9,2021,10,13,1.0
238,1,9,2021,11,9,1.0
239,1,9,2021,11,13,1.0
240,1,9,2022,4,1,0.963593656219028
241,1,9,2022,4,2,0.963593656219028
242,1,9,2022,4,3,0.963593656219028
243,1,9,2022,5,1,1.20833010081351
244,1,9,2022,5,2,1.20833010081351
245,1,9,2022,5,3,1.20833010081351
246,1,9,2022,6,1,0.990297343992831
247,1,9,2022,6,2,0.990297343992831
248,1,9,2022,6,3,0.990297343992831
249,1,9,2022,7,4,1.0
250,1,9,2022,7,10,1.0
251,1,9,2022,7,11,1.0
252,1,9,2022,7,12,1.0
253,1,9,2022,8,4,1.0
254,1,9,2022,8,10,1.0
255,1,9,2022,8,11,1.0
256,1,9,2022,8,12,1.0
257,1,9,2022,9,5,1.0
258,1,9,2022,9,6,1.0
259,1,9,2022,9,7,1.0
260,1,9,2022,10,9,1.0
261,1,9,2022,10,13,1.0
