,CountryID,TechID,Year,TransTypeID,MassCatID,Description,AveCapacity,AveLoadFactor,AveAnnualKm,Investment,CostPerTrain,ExpectLife,FailSteep
48,9,2010,2060,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
49,9,2010,2061,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
50,9,2010,2062,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
51,9,2010,2063,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
52,9,2010,2064,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
53,9,2010,2065,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
54,9,2010,2066,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
55,9,2010,2067,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
56,9,2010,2068,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
57,9,2010,2069,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
58,9,2010,2070,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
59,9,2010,2071,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
60,9,2010,2072,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
61,9,2010,2073,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
62,9,2010,2074,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
63,9,2010,2075,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
64,9,2010,2076,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
65,9,2010,2077,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
66,9,2010,2078,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
67,9,2010,2079,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
68,9,2010,2080,1,31,Rail - Train - Light - Diesel - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
