,CountryID,PolicyID,Year,VehTypeID,JSType_VSMID,Subsidy
184,9,0,2038,4,3,0
185,9,0,2038,6,4,0
186,9,0,2038,6,10,0
187,9,0,2038,6,11,0
188,9,0,2038,6,12,0
189,9,0,2039,4,1,0
190,9,0,2039,4,2,0
191,9,0,2039,4,3,0
192,9,0,2039,6,4,0
193,9,0,2039,6,10,0
194,9,0,2039,6,11,0
195,9,0,2039,6,12,0
196,9,0,2040,4,1,0
197,9,0,2040,4,2,0
198,9,0,2040,4,3,0
199,9,0,2040,6,4,0
200,9,0,2040,6,10,0
201,9,0,2040,6,11,0
202,9,0,2040,6,12,0
203,9,0,2041,4,1,0
204,9,0,2041,4,2,0
205,9,0,2041,4,3,0
206,9,0,2041,6,4,0
207,9,0,2041,6,10,0
208,9,0,2041,6,11,0
209,9,0,2041,6,12,0
210,9,0,2042,4,1,0
211,9,0,2042,4,2,0
212,9,0,2042,4,3,0
213,9,0,2042,6,4,0
214,9,0,2042,6,10,0
215,9,0,2042,6,11,0
216,9,0,2042,6,12,0
217,9,0,2043,4,1,0
218,9,0,2043,4,2,0
219,9,0,2043,4,3,0
220,9,0,2043,6,4,0
221,9,0,2043,6,10,0
222,9,0,2043,6,11,0
223,9,0,2043,6,12,0
224,9,0,2044,4,1,0
225,9,0,2044,4,2,0
226,9,0,2044,4,3,0
227,9,0,2044,6,4,0
228,9,0,2044,6,10,0
229,9,0,2044,6,11,0
230,9,0,2044,6,12,0
231,9,0,2045,4,1,0
232,9,0,2045,4,2,0
233,9,0,2045,4,3,0
234,9,0,2045,6,4,0
235,9,0,2045,6,10,0
236,9,0,2045,6,11,0
237,9,0,2045,6,12,0
238,9,0,2046,4,1,0
239,9,0,2046,4,2,0
240,9,0,2046,4,3,0
241,9,0,2046,6,4,0
242,9,0,2046,6,10,0
243,9,0,2046,6,11,0
244,9,0,2046,6,12,0
245,9,0,2047,4,1,0
246,9,0,2047,4,2,0
247,9,0,2047,4,3,0
248,9,0,2047,6,4,0
249,9,0,2047,6,10,0
250,9,0,2047,6,11,0
251,9,0,2047,6,12,0
252,9,0,2048,4,1,0
253,9,0,2048,4,2,0
254,9,0,2048,4,3,0
255,9,0,2048,6,4,0
256,9,0,2048,6,10,0
257,9,0,2048,6,11,0
258,9,0,2048,6,12,0
259,9,0,2049,4,1,0
260,9,0,2049,4,2,0
261,9,0,2049,4,3,0
262,9,0,2049,6,4,0
263,9,0,2049,6,10,0
264,9,0,2049,6,11,0
265,9,0,2049,6,12,0
266,9,0,2050,4,1,0
267,9,0,2050,4,2,0
268,9,0,2050,4,3,0
269,9,0,2050,6,4,0
270,9,0,2050,6,10,0
271,9,0,2050,6,11,0
272,9,0,2050,6,12,0
273,9,0,2051,4,1,0
274,9,0,2051,4,2,0
275,9,0,2051,4,3,0
276,9,0,2051,6,4,0
277,9,0,2051,6,10,0
278,9,0,2051,6,11,0
279,9,0,2051,6,12,0
280,9,0,2052,4,1,0
281,9,0,2052,4,2,0
282,9,0,2052,4,3,0
283,9,0,2052,6,4,0
284,9,0,2052,6,10,0
285,9,0,2052,6,11,0
286,9,0,2052,6,12,0
287,9,0,2053,4,1,0
288,9,0,2053,4,2,0
289,9,0,2053,4,3,0
290,9,0,2053,6,4,0
291,9,0,2053,6,10,0
292,9,0,2053,6,11,0
293,9,0,2053,6,12,0
294,9,0,2054,4,1,0
295,9,0,2054,4,2,0
296,9,0,2054,4,3,0
297,9,0,2054,6,4,0
298,9,0,2054,6,10,0
299,9,0,2054,6,11,0
300,9,0,2054,6,12,0
301,9,0,2055,4,1,0
302,9,0,2055,4,2,0
303,9,0,2055,4,3,0
304,9,0,2055,6,4,0
305,9,0,2055,6,10,0
306,9,0,2055,6,11,0
307,9,0,2055,6,12,0
308,9,0,2056,4,1,0
309,9,0,2056,4,2,0
310,9,0,2056,4,3,0
311,9,0,2056,6,4,0
312,9,0,2056,6,10,0
313,9,0,2056,6,11,0
314,9,0,2056,6,12,0
315,9,0,2057,4,1,0
316,9,0,2057,4,2,0
317,9,0,2057,4,3,0
318,9,0,2057,6,4,0
319,9,0,2057,6,10,0
320,9,0,2057,6,11,0
321,9,0,2057,6,12,0
322,9,0,2058,4,1,0
323,9,0,2058,4,2,0
324,9,0,2058,4,3,0
325,9,0,2058,6,4,0
326,9,0,2058,6,10,0
327,9,0,2058,6,11,0
328,9,0,2058,6,12,0
329,9,0,2059,4,1,0
330,9,0,2059,4,2,0
