,CountryID,PolicyID,Year,MassCatID,TransTypeID,RollInv
194,9,0,2036,32,1,865235008
195,9,0,2036,32,2,247800000
196,9,0,2036,33,1,182015008
197,9,0,2036,33,2,0
198,9,0,2036,34,1,65000000
199,9,0,2036,34,2,0
200,9,0,2037,31,1,78765000
201,9,0,2037,31,2,0
202,9,0,2037,32,1,865235008
203,9,0,2037,32,2,247800000
204,9,0,2037,33,1,182015008
205,9,0,2037,33,2,0
206,9,0,2037,34,1,65000000
207,9,0,2037,34,2,0
208,9,0,2038,31,1,78765000
209,9,0,2038,31,2,0
210,9,0,2038,32,1,865235008
211,9,0,2038,32,2,247800000
212,9,0,2038,33,1,182015008
213,9,0,2038,33,2,0
214,9,0,2038,34,1,65000000
215,9,0,2038,34,2,0
216,9,0,2039,31,1,78765000
217,9,0,2039,31,2,0
218,9,0,2039,32,1,865235008
219,9,0,2039,32,2,247800000
220,9,0,2039,33,1,182015008
221,9,0,2039,33,2,0
222,9,0,2039,34,1,65000000
223,9,0,2039,34,2,0
224,9,0,2040,31,1,78765000
225,9,0,2040,31,2,0
226,9,0,2040,32,1,865235008
227,9,0,2040,32,2,247800000
228,9,0,2040,33,1,182015008
229,9,0,2040,33,2,0
230,9,0,2040,34,1,65000000
231,9,0,2040,34,2,0
232,9,0,2041,31,1,78765000
233,9,0,2041,31,2,0
234,9,0,2041,32,1,865235008
235,9,0,2041,32,2,247800000
236,9,0,2041,33,1,182015008
237,9,0,2041,33,2,0
238,9,0,2041,34,1,65000000
239,9,0,2041,34,2,0
240,9,0,2042,31,1,78765000
241,9,0,2042,31,2,0
242,9,0,2042,32,1,865235008
243,9,0,2042,32,2,247800000
244,9,0,2042,33,1,182015008
245,9,0,2042,33,2,0
246,9,0,2042,34,1,65000000
247,9,0,2042,34,2,0
248,9,0,2043,31,1,78765000
249,9,0,2043,31,2,0
250,9,0,2043,32,1,865235008
251,9,0,2043,32,2,247800000
252,9,0,2043,33,1,182015008
253,9,0,2043,33,2,0
254,9,0,2043,34,1,65000000
255,9,0,2043,34,2,0
256,9,0,2044,31,1,78765000
257,9,0,2044,31,2,0
258,9,0,2044,32,1,865235008
259,9,0,2044,32,2,247800000
260,9,0,2044,33,1,182015008
261,9,0,2044,33,2,0
262,9,0,2044,34,1,65000000
263,9,0,2044,34,2,0
264,9,0,2045,31,1,78765000
265,9,0,2045,31,2,0
266,9,0,2045,32,1,865235008
267,9,0,2045,32,2,247800000
268,9,0,2045,33,1,182015008
269,9,0,2045,33,2,0
270,9,0,2045,34,1,65000000
271,9,0,2045,34,2,0
272,9,0,2046,31,1,78765000
273,9,0,2046,31,2,0
274,9,0,2046,32,1,865235008
275,9,0,2046,32,2,247800000
276,9,0,2046,33,1,182015008
277,9,0,2046,33,2,0
278,9,0,2046,34,1,65000000
279,9,0,2046,34,2,0
280,9,0,2047,31,1,78765000
281,9,0,2047,31,2,0
282,9,0,2047,32,1,865235008
283,9,0,2047,32,2,247800000
284,9,0,2047,33,1,182015008
285,9,0,2047,33,2,0
286,9,0,2047,34,1,65000000
287,9,0,2047,34,2,0
288,9,0,2048,31,1,78765000
289,9,0,2048,31,2,0
290,9,0,2048,32,1,865235008
291,9,0,2048,32,2,247800000
292,9,0,2048,33,1,182015008
293,9,0,2048,33,2,0
294,9,0,2048,34,1,65000000
295,9,0,2048,34,2,0
296,9,0,2049,31,1,78765000
297,9,0,2049,31,2,0
298,9,0,2049,32,1,865235008
299,9,0,2049,32,2,247800000
300,9,0,2049,33,1,182015008
301,9,0,2049,33,2,0
302,9,0,2049,34,1,65000000
303,9,0,2049,34,2,0
304,9,0,2050,31,1,78765000
305,9,0,2050,31,2,0
306,9,0,2050,32,1,865235008
307,9,0,2050,32,2,247800000
308,9,0,2050,33,1,182015008
309,9,0,2050,33,2,0
310,9,0,2050,34,1,65000000
311,9,0,2050,34,2,0
312,9,0,2051,31,1,78765000
313,9,0,2051,32,1,865235008
314,9,0,2051,32,2,247800000
315,9,0,2051,33,1,182015008
316,9,0,2051,33,2,0
317,9,0,2051,34,1,65000000
318,9,0,2052,31,1,78765000
319,9,0,2052,32,1,865235008
320,9,0,2052,32,2,247800000
321,9,0,2052,33,1,182015008
322,9,0,2052,33,2,0
323,9,0,2052,34,1,65000000
