,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
0,1,7,2012,4,1,1.0
1,1,7,2012,4,2,1.0
2,1,7,2012,4,3,1.0
3,1,7,2012,5,1,1.0
4,1,7,2012,5,2,1.0
5,1,7,2012,5,3,1.0
6,1,7,2012,6,1,1.0
7,1,7,2012,6,2,1.0
8,1,7,2012,6,3,1.0
9,1,7,2012,7,4,1.0
10,1,7,2012,7,10,1.0
11,1,7,2012,7,11,1.0
12,1,7,2012,7,12,1.0
13,1,7,2012,8,4,1.0
14,1,7,2012,8,10,1.0
15,1,7,2012,8,11,1.0
16,1,7,2012,8,12,1.0
17,1,7,2012,9,5,1.0
18,1,7,2012,9,6,1.0
19,1,7,2012,9,7,1.0
20,1,7,2012,10,9,1.0
21,1,7,2012,10,13,1.0
22,1,7,2012,11,9,1.0
23,1,7,2012,11,13,1.0
24,1,7,2013,4,1,1.0
25,1,7,2013,4,2,1.0
26,1,7,2013,4,3,1.0
27,1,7,2013,5,1,1.0
28,1,7,2013,5,2,1.0
29,1,7,2013,5,3,1.0
30,1,7,2013,6,1,1.0
31,1,7,2013,6,2,1.0
32,1,7,2013,6,3,1.0
33,1,7,2013,7,4,1.0
34,1,7,2013,7,10,1.0
35,1,7,2013,7,11,1.0
36,1,7,2013,7,12,1.0
37,1,7,2013,8,4,1.0
38,1,7,2013,8,10,1.0
39,1,7,2013,8,11,1.0
40,1,7,2013,8,12,1.0
41,1,7,2013,9,5,1.0
42,1,7,2013,9,6,1.0
43,1,7,2013,9,7,1.0
44,1,7,2013,10,9,1.0
45,1,7,2013,10,13,1.0
46,1,7,2013,11,9,1.0
47,1,7,2013,11,13,1.0
48,1,7,2014,4,1,1.0
49,1,7,2014,4,2,1.0
50,1,7,2014,4,3,1.0
51,1,7,2014,5,1,1.0
52,1,7,2014,5,2,1.0
53,1,7,2014,5,3,1.0
54,1,7,2014,6,1,1.0
55,1,7,2014,6,2,1.0
56,1,7,2014,6,3,1.0
57,1,7,2014,7,4,1.0
58,1,7,2014,7,10,1.0
59,1,7,2014,7,11,1.0
60,1,7,2014,7,12,1.0
61,1,7,2014,8,4,1.0
62,1,7,2014,8,10,1.0
63,1,7,2014,8,11,1.0
64,1,7,2014,8,12,1.0
