,TDVSID,ScenarioID,CountryID,Year,TechID,VehCatID,TypID,NVVehType_Value,NVVehType_PFix,NVVehType_Unit
0,0,1,9,2012,10,S,26,22.0589735051107,1,no
1,0,1,9,2012,10,T,26,579.025134563914,1,no
2,0,1,9,2012,20,S,26,2.31957817868171e-05,1,no
3,0,1,9,2012,20,T,26,0.000608865170780283,1,no
4,0,1,9,2012,25,N,26,20.2787112043108,1,no
5,0,1,9,2012,25,S,26,1.20274305202121,1,no
6,0,1,9,2012,25,T,26,31.5707554288981,1,no
7,0,1,9,2012,30,S,26,1512.6965591523,1,no
8,0,1,9,2012,30,T,26,39706.7129399562,1,no
9,0,1,9,2012,40,N,26,7709.29483384397,1,no
10,0,1,9,2012,40,S,26,625.926678603395,1,no
11,0,1,9,2012,40,T,26,16429.9249564585,1,no
12,0,1,9,2012,70,S,26,2874.18810096707,1,no
13,0,1,9,2012,70,T,26,50656.5319974365,1,no
14,0,1,9,2012,80,N,26,412496.960947562,1,no
15,0,1,9,2012,80,S,26,92219.2727384679,1,no
16,0,1,9,2012,80,T,26,1625331.52881842,1,no
17,0,1,9,2012,90,S,26,1326.3843625954,1,no
18,0,1,9,2012,90,T,26,23377.0475502651,1,no
19,0,1,9,2012,91,S,92,1.34852318175559e-13,1,no
20,0,1,9,2012,100,S,26,47796.4394809305,1,no
21,0,1,9,2012,100,T,26,842395.062840401,1,no
22,0,1,9,2012,110,S,26,107408.567796368,1,no
23,0,1,9,2012,110,T,26,1893037.39360163,1,no
24,0,1,9,2012,120,S,26,88712.9640777642,1,no
25,0,1,9,2012,120,T,26,1563534.09920549,1,no
26,0,1,9,2012,130,S,26,5368.21608172373,1,no
27,0,1,9,2012,130,T,26,94612.8785452468,1,no
28,0,1,9,2012,140,N,26,902364.335651472,1,no
29,0,1,9,2012,140,S,26,198503.756925819,1,no
30,0,1,9,2012,140,T,26,3498557.35292368,1,no
31,0,1,9,2012,150,S,26,2477.33197794129,1,no
32,0,1,9,2012,150,T,26,43662.0855004691,1,no
33,0,1,9,2012,160,S,26,72489.6735919909,1,no
34,0,1,9,2012,160,T,26,1277604.4367315,1,no
35,0,1,9,2012,161,N,92,844.58954078586,1,no
36,0,1,9,2012,161,S,92,61.5838770440125,1,no
37,0,1,9,2012,161,T,92,1085.39369325082,1,no
38,0,1,9,2012,170,S,26,248016.293050434,1,no
39,0,1,9,2012,170,T,26,4371198.00216541,1,no
40,0,1,9,2012,181,S,26,191702.308869034,1,no
41,0,1,9,2012,181,T,26,3378684.27607059,1,no
42,0,1,9,2012,190,S,26,931.000783271724,1,no
43,0,1,9,2012,190,T,26,16408.554106662,1,no
44,0,1,9,2012,191,N,92,573.843505859375,1,no
45,0,1,9,2012,191,S,92,97.8711888866094,1,no
46,0,1,9,2012,191,T,92,1724.94451904297,1,no
47,0,1,9,2012,200,N,26,439616.256550793,1,no
48,0,1,9,2012,200,S,26,89904.7429631684,1,no
49,0,1,9,2012,200,T,26,1584538.77361147,1,no
50,0,1,9,2012,210,S,26,429.639516872627,1,no
51,0,1,9,2012,210,T,26,7572.24202775679,1,no
52,0,1,9,2012,220,S,26,14111.9827387453,1,no
53,0,1,9,2012,220,T,26,248718.622456196,1,no
54,0,1,9,2012,230,S,26,70221.6879954389,1,no
