,ScenarioID,CountryID,Year,GDP_GR,DisposableIncome,NHH_tot,NHH_GR,HHUrban_SH,BuyFirstCar,BuySecondCar,Pop,ShPop65Plus,shPopTeleWork,chTrips4dayweek,chTripsComGig,ATL_TeleWork,ATL_Com_Prox,ATL_ComGig,shPopTeleConf,chTripsBusiAir,chTripsBusiGig,ATL_TeleConf,ATL_BusiAir,chDomesticHolidays,ATL_LeiLong_Wkds,chTripsLeiLoc,chTripsLeiLocBlend,ATL_LeiLoc_WC,chTripsSchool,ATL_School_Prox,chTripsShop,chTripsTeleShop,ATL_Shop_Local,chTripsTelePB,ATL_PB_Local,chTripsTeleActivity,ATL_Other_Prox
2,1,9,2014,1.82761257163372,1.82761257163372,27141592,1.00548101510442,1.00413107595049,5.0,1.5,64597000,0.175471097230911,0.0299999993294477,0,0.00822870619595051,0,0,-0.0227821134030819,0.0500000007450581,0,0.0687376260757446,0.0371700711548328,0,-0.0680349171161652,0.0740071684122086,0.00439898017793894,0,-0.00245578377507627,-0.0358022898435593,-0.0275866035372019,-0.0708319991827011,0,-0.0420353040099144,-0.0103173302486539,0.0413372777402401,-0.0397895239293575,-0.0585579872131348
3,1,9,2015,1.54885910146956,1.54885910146956,27472570,1.01774231632687,1.0085332602845,5.5,1.25,65110000,0.175471097230911,0.0299999993294477,0,-0.0242041312158108,0,0,0.0243324413895607,0.0500000007450581,0,0.0309248380362988,0.0391941964626312,0,-0.0834187343716621,0.13830241560936,0.00472236378118396,0,0.08657306432724,-0.0528973750770092,-0.0317357741296291,-0.0513211227953434,0,-0.0313906110823154,-0.0470828637480736,0.000570346717722714,-0.0234020221978426,-0.0246040429919958
4,1,9,2016,1.08301732365619,1.08301732365619,27583190,1.02184029722084,1.01329417308943,5.5,1.0,65648000,0.175471097230911,0.0299999993294477,0,-0.0183303859084845,0,0,0.00805062707513571,0.0500000007450581,0,0.0865101516246796,0.00131317623890936,0,-0.0814753472805023,0.115244090557098,0.0706308409571648,0,-0.0143975177779794,-0.0335283800959587,-0.0559993647038937,-0.0442363135516644,0,-0.0591880902647972,-0.0708668828010559,0.0846102684736252,0.0415206365287304,-0.0547384396195412
5,1,9,2017,1.28726734975762,1.28726734975762,27631794,1.0236409390959,1.01774614014071,5.5,0.75,66040000,0.175471097230911,0.0299999993294477,0,-0.0196370389312506,0,0,0.0193453934043646,0.0500000007450581,0,-0.0999872237443924,-0.0245344564318657,0,-0.0345486775040627,0.100732207298279,0.0428000725805759,0,-0.012547442689538,0.000358541583409533,-0.0216994918882847,-0.011902304366231,0,-0.0868672430515289,-0.00172536575701088,0.0266615655273199,0.0851486250758171,-0.049173429608345
6,1,9,2018,0.736667324565914,0.736667324565914,27914282,1.03410586744705,1.02168701706191,5.5,0.5,66436000,0.175471112132072,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
7,1,9,2019,0.677037284376045,0.677037284376045,28185650,1.04415891154408,1.025329105464,5.5,0.25,66800000,0.177703231573105,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
8,1,9,2020,0.842686400423921,0.842686400423921,28372384,1.05107659846966,1.02950463014168,5.5,0.0,67200000,0.179934695363045,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
9,1,9,2021,1.14421765426073,1.14421765426073,28499046,1.05576890471283,1.03390832696597,5.5,0.0,67500000,0.1820128262043,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
10,1,9,2022,1.15158080441516,1.15158080441516,28625708,1.060461210956,1.03814062644716,5.5,0.0,67800000,0.184344097971916,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
11,1,9,2023,1.14779085178361,1.14779085178361,28752370,1.06515351719917,1.04229326163961,5.5,0.0,68100000,0.186915934085846,0.0299999993294477,0,-0.0181843731552362,0,0,-0.00683906115591526,0.0500000007450581,0,-0.0211284030228853,-0.00330405705608428,0,-0.0779848173260689,0.0252062659710646,0.12960022687912,0,0.00516657903790474,0.0366360433399677,-0.0613907501101494,-0.0184775125235319,0,-0.0741319134831429,-0.0388107299804688,-0.0266404338181019,0.129086598753929,-0.0523761846125126
