CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Under 10 km,10 km to 30 km,30 km and over,Work from home,Other
19959,00ADGX,00ADGX : Thamesmead East,Standard Table (ST) wards,SWARD,2097,2128,167,,600
19960,00AEGJ,00AEGJ : Alperton,Standard Table (ST) wards,SWARD,3376,1300,127,,827
19961,00AEGK,00AEGK : Barnhill,Standard Table (ST) wards,SWARD,2720,1649,126,,922
19962,00AEGL,00AEGL : Brondesbury Park,Standard Table (ST) wards,SWARD,4047,580,101,,920
19963,00AEGM,00AEGM : Dollis Hill,Standard Table (ST) wards,SWARD,3347,884,114,,854
19964,00AEGN,00AEGN : Dudden Hill,Standard Table (ST) wards,SWARD,3962,1171,152,,1003
19965,00AEGP,00AEGP : Fryent,Standard Table (ST) wards,SWARD,2778,1507,121,,890
19966,00AEGQ,00AEGQ : Harlesden,Standard Table (ST) wards,SWARD,3314,703,109,,665
19967,00AEGR,00AEGR : Kensal Green,Standard Table (ST) wards,SWARD,3681,593,118,,778
19968,00AEGS,00AEGS : Kenton,Standard Table (ST) wards,SWARD,2474,1957,152,,937
19969,00AEGT,00AEGT : Kilburn,Standard Table (ST) wards,SWARD,5017,533,139,,863
19970,00AEGU,00AEGU : Mapesbury,Standard Table (ST) wards,SWARD,4734,932,172,,1037
19971,00AEGW,00AEGW : Northwick Park,Standard Table (ST) wards,SWARD,2843,1723,187,,918
19972,00AEGX,00AEGX : Preston,Standard Table (ST) wards,SWARD,2705,1957,145,,896
19973,00AEGY,00AEGY : Queens Park,Standard Table (ST) wards,SWARD,4632,488,140,,1148
19974,00AEGZ,00AEGZ : Queensbury,Standard Table (ST) wards,SWARD,2912,1758,166,,1011
19975,00AEHA,00AEHA : Stonebridge,Standard Table (ST) wards,SWARD,3740,844,116,,741
19976,00AEHB,00AEHB : Sudbury,Standard Table (ST) wards,SWARD,2803,1791,138,,841
19977,00AEHC,00AEHC : Tokyngton,Standard Table (ST) wards,SWARD,3050,1379,117,,811
19978,00AEHD,00AEHD : Welsh Harp,Standard Table (ST) wards,SWARD,3154,1290,117,,856
19979,00AEHE,00AEHE : Wembley Central,Standard Table (ST) wards,SWARD,2737,1105,113,,705
19980,00AEHF,00AEHF : Willesden Green,Standard Table (ST) wards,SWARD,4284,935,130,,889
19981,00AFGD,00AFGD : Bickley,Standard Table (ST) wards,SWARD,2419,2793,235,,1053
19982,00AFGE,00AFGE : Biggin Hill,Standard Table (ST) wards,SWARD,1809,2538,258,,975
19983,00AFGF,00AFGF : Bromley Common and Keston,Standard Table (ST) wards,SWARD,2913,2393,218,,1048
19984,00AFGG,00AFGG : Bromley Town,Standard Table (ST) wards,SWARD,3145,3181,248,,1081
19985,00AFGH,00AFGH : Chelsfield and Pratts Bottom,Standard Table (ST) wards,SWARD,2583,2909,263,,1007
19986,00AFGJ,00AFGJ : Chislehurst,Standard Table (ST) wards,SWARD,2535,2877,220,,1055
19987,00AFGK,00AFGK : Clock House,Standard Table (ST) wards,SWARD,3643,3357,197,,1152
19988,00AFGL,00AFGL : Copers Cope,Standard Table (ST) wards,SWARD,2755,3858,271,,1009
19989,00AFGM,00AFGM : Cray Valley East,Standard Table (ST) wards,SWARD,3164,2419,239,,922
19990,00AFGN,00AFGN : Cray Valley West,Standard Table (ST) wards,SWARD,3252,2192,227,,963
19991,00AFGP,00AFGP : Crystal Palace,Standard Table (ST) wards,SWARD,2576,2155,121,,686
19992,00AFGQ,00AFGQ : Darwin,Standard Table (ST) wards,SWARD,830,932,74,,456
19993,00AFGR,00AFGR : Farnborough and Crofton,Standard Table (ST) wards,SWARD,2577,2718,217,,1003
19994,00AFGS,00AFGS : Hayes and Coney Hall,Standard Table (ST) wards,SWARD,3220,2497,221,,1169
19995,00AFGT,00AFGT : Kelsey and Eden Park,Standard Table (ST) wards,SWARD,3144,2529,182,,1034
19996,00AFGU,00AFGU : Mottingham and Chislehurst North,Standard Table (ST) wards,SWARD,2047,1454,112,,593
19997,00AFGW,00AFGW : Orpington,Standard Table (ST) wards,SWARD,2883,2654,236,,926
19998,00AFGX,00AFGX : Penge and Cator,Standard Table (ST) wards,SWARD,3831,2890,208,,1100
19999,00AFGY,00AFGY : Petts Wood and Knoll,Standard Table (ST) wards,SWARD,2308,2951,242,,942
20000,00AFGZ,00AFGZ : Plaistow and Sundridge,Standard Table (ST) wards,SWARD,3123,2816,250,,985
20001,00AFHA,00AFHA : Shortlands,Standard Table (ST) wards,SWARD,1747,1945,143,,728
20002,00AFHB,00AFHB : West Wickham,Standard Table (ST) wards,SWARD,3080,2377,208,,1023
20003,00AGGD,00AGGD : Belsize,Standard Table (ST) wards,SWARD,4548,457,134,,1057
20004,00AGGE,00AGGE : Bloomsbury,Standard Table (ST) wards,SWARD,3191,175,124,,672
20005,00AGGF,00AGGF : Camden Town with Primrose Hill,Standard Table (ST) wards,SWARD,3868,243,139,,1051
