,GEO_CODE,One person household\ Aged 65 and over,One person household\ Aged 0 to 64,One family only\ All aged 65 and over,One family only\ Lone parent\ All children non-dependent,One family only\ Couple family\ No children,One family only\ Couple family\ With dependent children,One family only\ Couple family\ All children non-dependent,One family only\ Lone parent\ With dependent children,Other household types\ Other (including all full-time students and all aged 65 and over)
284,S01000273,7,33,9,3,52,55,16,13,8
285,S01000269,21,20,16,3,58,85,21,4,8
286,S01000268,55,35,29,11,59,78,21,24,12
287,S01000271,51,47,37,9,82,91,21,15,12
288,S01000283,34,45,25,4,83,98,24,27,10
289,S01000282,17,47,16,9,57,74,22,6,9
290,S01000274,47,33,29,14,32,59,19,10,13
291,S01000280,19,39,19,5,55,69,17,15,10
292,S01000276,13,13,9,1,69,107,20,5,9
293,S01000278,54,24,33,9,34,40,26,20,8
294,S01000277,44,34,18,5,59,80,17,8,10
295,S01000285,16,17,17,6,65,81,26,5,9
296,S01000284,18,29,17,7,64,108,21,8,15
297,S01000308,33,36,30,4,105,109,40,5,20
298,S01000324,8,24,13,2,96,131,18,9,11
299,S01000300,14,38,13,4,89,90,22,9,14
300,S01000298,17,13,19,3,38,68,15,15,6
301,S01000287,28,47,21,6,67,70,20,11,10
302,S01000290,42,53,17,24,52,65,22,40,17
303,S01000288,22,37,20,8,69,115,30,14,14
304,S01000291,33,14,19,6,64,97,32,12,7
305,S01000289,77,87,47,20,57,62,34,22,11
306,S01000286,94,141,37,7,81,64,20,17,15
307,S01000297,11,44,22,7,69,90,25,31,9
308,S01000295,21,11,14,6,55,68,33,7,5
309,S01000292,52,36,30,14,71,103,28,15,16
310,S01000296,29,21,24,4,45,58,11,9,6
311,S01000293,155,69,50,8,63,48,11,16,14
312,S01000294,19,16,16,3,50,105,16,15,3
313,S01000305,47,34,41,17,85,110,40,21,18
314,S01000304,9,15,21,2,87,121,34,5,9
315,S01000307,4,33,13,2,84,155,21,15,9
316,S01000327,10,15,26,6,74,120,35,12,10
317,S01000320,18,93,15,6,77,88,13,7,8
318,S01000310,16,50,12,4,78,132,24,14,11
319,S01000314,15,48,13,5,69,69,8,9,6
320,S01000319,7,18,4,5,45,118,13,9,6
321,S01000336,30,46,21,8,83,88,21,7,15
322,S01000333,22,42,19,5,68,114,21,9,8
323,S01000329,31,28,15,4,34,73,20,16,11
324,S01000328,6,15,5,12,39,73,22,15,11
325,S01000326,37,27,18,6,44,90,29,30,11
326,S01000321,17,19,9,5,60,61,25,6,12
327,S01000335,41,24,34,6,61,64,19,20,7
328,S01000306,18,28,22,7,76,90,27,2,9
329,S01000340,44,43,34,6,91,104,38,13,9
330,S01000361,23,24,20,3,59,75,18,4,9
331,S01000356,11,18,14,12,63,69,25,4,6
332,S01000322,35,36,35,1,62,150,30,19,9
333,S01000330,19,17,22,4,80,80,26,3,9
334,S01000317,60,33,37,6,33,41,24,14,11
335,S01000325,42,28,41,11,51,51,16,16,13
336,S01000313,53,32,35,13,63,67,28,8,4
337,S01000311,58,94,28,9,88,90,19,14,20
338,S01000318,22,15,22,5,39,79,15,6,9
339,S01000315,51,16,26,2,43,70,25,5,9
340,S01000323,60,25,34,10,51,99,39,14,10
341,S01000338,18,19,20,4,49,45,17,5,14
342,S01000339,59,28,50,10,90,133,28,15,6
343,S01000343,16,22,14,5,57,84,16,2,6
344,S01000337,48,24,31,4,72,70,15,6,10
345,S01000342,62,39,30,3,42,38,13,16,12
346,S01000341,16,45,30,6,76,74,17,6,12
347,S01000364,26,39,24,4,94,102,27,6,10
348,S01000384,46,42,31,10,72,61,30,10,11
349,S01000363,20,26,28,8,91,125,30,6,16
350,S01000371,96,40,57,14,75,77,25,16,18
351,S01000368,43,56,38,5,72,90,15,9,13
352,S01000374,50,18,46,6,49,87,21,8,6
353,S01000382,38,33,22,7,74,80,19,16,10
354,S01000377,17,45,16,6,78,87,17,3,13
355,S01000395,25,36,18,3,80,80,21,12,7
356,S01000376,34,41,18,13,63,82,52,27,15
357,S01000373,14,25,17,4,51,82,17,2,8
358,S01000372,50,43,26,16,76,111,30,15,9
359,S01000375,38,39,19,10,50,63,22,22,8
360,S01000378,16,11,14,7,33,64,27,15,8
361,S01000397,86,47,42,15,97,96,37,7,15
362,S01000406,29,47,20,14,45,58,21,17,14
363,S01000403,42,59,40,11,67,79,31,11,10
364,S01000404,20,35,15,13,66,98,22,6,9
365,S01000402,33,50,27,5,71,87,13,13,4
366,S01000408,14,25,13,4,50,71,16,3,3
367,S01000409,11,21,15,6,45,107,15,6,7
368,S01000407,45,42,24,6,37,63,26,14,12
369,S01000394,27,61,14,3,45,80,22,23,7
370,S01000390,45,34,33,11,72,53,21,28,6
371,S01000398,16,27,20,2,65,92,26,7,16
372,S01000391,21,52,28,7,38,64,11,24,8
373,S01000393,77,33,63,10,74,63,30,8,18
374,S01000396,116,60,80,13,57,50,58,15,12
375,S01000399,53,66,27,6,63,42,18,7,12
376,S01000400,67,59,34,15,55,59,24,16,10
377,S01000410,12,22,20,7,56,91,22,5,7
378,S01000426,17,22,21,3,62,103,34,7,8
379,S01000421,16,28,14,6,61,71,14,8,9
380,S01000367,28,30,30,11,73,76,33,5,11
381,S01000386,50,53,26,7,71,72,31,13,16
382,S01000366,32,23,22,6,68,99,26,4,6
383,S01000381,62,21,43,6,75,96,44,5,10
384,S01000362,30,36,22,3,85,112,38,9,11
385,S01000365,15,24,18,7,72,81,16,10,11
386,S01000359,0,5,11,3,52,147,20,4,7
387,S01000354,16,12,14,2,29,82,23,7,3
388,S01000358,12,33,28,4,75,134,47,7,11
389,S01000347,27,15,24,4,41,42,19,11,8
390,S01000357,4,18,6,2,42,107,28,10,3
391,S01000352,34,28,23,9,60,105,25,8,8
392,S01000346,29,35,11,11,64,71,34,4,7
393,S01000348,14,56,28,4,72,95,25,14,14
394,S01000349,50,45,21,5,50,65,12,9,6
395,S01000355,8,16,20,3,57,109,16,3,6
396,S01000351,23,37,18,6,82,138,35,16,9
397,S01000345,18,30,23,8,45,85,17,16,6
398,S01000350,23,28,17,7,77,157,24,17,5
399,S01000353,12,38,13,1,63,93,23,4,1
400,S01000392,13,23,19,8,81,85,26,7,9
401,S01000383,26,31,24,4,62,87,27,7,4
402,S01000389,11,20,7,2,64,113,11,7,5
403,S01000387,62,30,28,10,75,95,34,10,4
404,S01000379,9,28,11,2,57,74,23,5,3
405,S01000369,25,46,36,16,105,88,51,10,14
406,S01000380,11,23,13,8,74,98,27,6,8
407,S01000388,16,26,30,8,68,90,24,7,12
408,S01000370,18,32,8,5,82,100,30,7,10
409,S01000385,36,39,10,5,50,63,11,18,11
410,S01000432,57,45,57,12,107,93,31,13,7
411,S01000439,16,25,19,10,72,74,27,11,14
412,S01000431,80,40,46,10,43,50,17,16,9
413,S01000444,8,22,11,3,41,79,21,4,11
414,S01000438,11,10,11,3,52,119,15,6,3
415,S01000429,64,38,46,6,70,72,32,10,6
416,S01000428,14,17,17,6,71,100,35,6,10
417,S01000427,22,68,9,5,81,98,18,18,7
418,S01000430,15,30,18,6,51,62,18,5,9
419,S01000437,50,66,32,10,90,116,19,10,9
420,S01000434,30,15,21,14,31,69,27,26,12
421,S01000436,15,12,10,6,51,108,16,8,6
422,S01000435,18,26,26,4,50,50,34,8,8
423,S01000433,59,23,28,8,34,41,23,18,7
424,S01000405,14,19,9,5,65,71,17,3,5
425,S01000413,32,37,22,11,71,87,33,13,5
426,S01000414,14,16,9,2,58,113,19,8,6
427,S01000446,27,44,18,10,103,94,36,10,20
428,S01000451,32,40,25,9,66,86,30,7,12
429,S01000425,56,25,37,4,61,80,31,12,9
430,S01000442,24,27,21,5,83,123,24,8,4
431,S01000412,17,35,20,3,67,101,27,8,13
432,S01000416,43,30,15,6,72,73,13,14,8
433,S01000424,15,18,14,8,60,95,29,6,11
434,S01000411,12,25,8,6,61,79,19,12,13
435,S01000417,55,45,41,13,76,119,26,14,11
436,S01000420,70,53,41,9,82,106,27,16,8
437,S01000419,13,23,15,4,64,92,22,6,5
438,S01000423,15,30,17,6,81,122,26,6,17
439,S01000454,57,18,27,10,33,40,14,11,10
440,S01000443,11,25,9,2,63,71,20,6,8
441,S01000452,15,27,13,5,50,77,9,5,7
442,S01000468,11,11,9,3,50,65,20,6,8
443,S01000448,19,17,15,1,56,82,17,4,14
444,S01000447,23,24,26,4,45,66,13,7,4
445,S01000440,44,44,32,5,70,98,27,11,11
446,S01000415,62,43,18,2,41,65,17,17,8
447,S01000453,7,17,11,5,54,62,20,3,8
448,S01000466,12,32,14,7,77,93,33,8,13
449,S01000422,46,28,41,5,48,73,18,16,11
450,S01000456,34,26,33,12,74,70,27,8,13
451,S01000418,20,32,30,4,63,80,27,8,9
452,S01000401,23,29,20,6,84,102,22,10,10
453,S01000441,49,42,36,13,78,80,25,17,17
454,S01000464,28,37,22,5,83,88,22,5,9
455,S01000462,96,50,54,20,52,93,22,35,13
456,S01000459,101,85,58,23,87,82,21,16,21
457,S01000457,109,42,66,5,58,65,26,10,16
458,S01000461,117,97,38,8,59,67,14,24,20
459,S01000460,49,37,43,16,43,59,29,34,11
460,S01000514,14,22,20,5,67,47,29,1,7
461,S01000509,104,51,55,17,82,89,35,18,12
462,S01000506,11,20,22,4,76,68,21,5,7
463,S01000474,16,17,17,8,65,70,22,8,10
464,S01000507,122,52,52,24,71,88,31,33,19
465,S01000512,57,43,43,3,90,107,13,23,7
466,S01000510,54,37,34,9,66,61,17,16,5
467,S01000504,103,73,32,7,80,50,10,22,18
468,S01000536,27,27,19,3,45,55,14,10,10
469,S01000525,33,35,46,15,101,95,32,8,13
470,S01000555,87,46,43,8,59,74,36,14,20
471,S01000551,94,49,43,9,64,74,17,9,15
472,S01000548,89,57,60,13,84,88,38,22,6
473,S01000528,24,31,30,7,60,74,31,8,14
474,S01000520,35,31,35,12,93,107,31,13,21
475,S01000513,79,51,34,10,64,73,32,13,16
476,S01000539,115,125,49,8,86,78,18,15,25
477,S01000538,55,42,28,10,69,69,28,28,7
478,S01000541,49,50,23,8,31,53,10,16,8
479,S01000534,63,38,44,20,51,67,28,31,15
480,S01000532,89,48,42,4,58,60,22,19,14
481,S01000535,88,51,35,14,98,94,26,29,11
482,S01000545,55,74,19,9,52,72,12,11,19
483,S01000546,50,38,23,7,59,61,21,22,10
484,S01000542,55,33,40,9,47,61,10,22,13
485,S01000540,63,48,27,10,54,83,22,19,14
486,S01000517,66,34,37,5,52,56,20,13,5
487,S01000526,24,28,24,13,74,106,40,9,17
488,S01000544,57,35,24,11,48,76,25,16,12
489,S01000529,19,32,21,10,70,79,31,3,11
490,S01000531,35,38,12,11,41,47,15,7,16
491,S01000522,17,21,15,6,81,54,23,8,14
492,S01000508,24,44,26,14,83,87,35,7,18
493,S01000521,58,50,32,8,69,93,36,25,14
494,S01000493,54,29,34,9,42,56,15,12,9
495,S01000502,8,15,10,7,48,56,20,5,14
496,S01000497,42,30,25,10,61,59,25,10,9
497,S01000503,20,16,12,3,46,54,22,4,9
498,S01000511,29,18,12,9,44,67,15,5,9
499,S01000515,13,28,14,5,49,64,19,5,14
500,S01000476,17,24,17,7,52,56,26,8,6
501,S01000518,87,45,38,11,74,83,29,18,8
502,S01000519,12,21,10,7,47,51,22,3,8
503,S01000498,39,13,40,9,52,44,25,6,8
504,S01000501,62,26,45,9,44,53,21,13,5
505,S01000499,25,42,36,8,56,95,25,13,10
506,S01000500,26,24,9,10,39,58,33,30,12
507,S01000458,16,34,15,3,82,106,33,10,10
508,S01000465,11,23,11,6,74,70,22,8,13
509,S01000480,44,19,19,6,49,83,24,8,4
510,S01000445,45,59,27,12,97,114,22,10,10
511,S01000455,27,57,20,10,69,88,34,17,24
512,S01000450,22,38,19,3,59,79,17,14,5
513,S01000449,38,34,33,6,64,70,22,23,15
514,S01000463,18,45,13,7,61,85,23,7,6
515,S01000467,52,54,17,9,60,58,19,9,10
516,S01000469,7,18,13,5,52,104,22,6,7
517,S01000481,27,30,18,5,73,79,40,4,16
518,S01000470,22,23,39,3,77,124,31,12,13
519,S01000473,13,34,17,9,60,74,29,43,12
520,S01000475,35,39,25,5,52,103,31,34,13
521,S01000472,12,22,11,10,56,100,34,29,11
522,S01000477,53,19,32,12,64,83,29,15,5
523,S01000479,69,49,32,10,79,76,33,36,11
524,S01000483,120,69,62,26,65,82,24,14,8
525,S01000487,82,35,30,6,39,46,16,7,6
526,S01000478,76,43,64,14,53,66,32,21,16
527,S01000492,42,52,21,16,51,95,26,43,21
528,S01000494,28,33,16,13,25,56,16,26,9
529,S01000489,78,90,52,20,73,41,17,41,26
530,S01000484,42,114,30,9,56,70,17,26,19
531,S01000486,75,242,23,14,52,41,11,39,23
532,S01000482,67,107,34,17,55,47,24,24,21
533,S01000491,35,41,11,13,29,51,18,36,15
534,S01000496,6,28,10,2,62,77,20,6,6
535,S01000490,11,58,14,5,60,59,17,8,3
536,S01000488,63,23,38,15,53,58,35,15,8
537,S01000485,30,49,33,10,103,131,42,8,8
538,S01000495,33,23,40,12,66,105,39,10,10
539,S01000471,33,19,17,3,54,67,19,6,19
