,GEO_CODE,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km and over,Work or study mainly at or from home,Other (including no fixed place of work; working on an offshore installation and working outside the UK)
371,S01000372,209,13,76,117,193,36,41
372,S01000373,112,4,43,84,130,21,38
373,S01000374,186,7,4,37,185,17,41
374,S01000375,140,6,74,80,90,22,36
375,S01000376,216,10,100,92,162,25,60
376,S01000377,81,81,47,100,144,62,46
377,S01000378,148,2,53,65,99,37,39
378,S01000379,52,52,108,144,11,46,37
379,S01000380,111,10,146,249,11,28,47
380,S01000381,106,82,114,205,49,47,49
381,S01000382,54,58,49,107,202,51,30
382,S01000383,89,30,190,177,17,26,30
383,S01000384,74,27,25,85,132,92,48
384,S01000385,67,2,114,178,20,15,42
385,S01000386,72,50,110,170,43,56,40
386,S01000387,90,19,186,237,29,35,35
387,S01000388,60,39,122,239,29,41,41
388,S01000389,84,4,121,232,16,20,44
389,S01000390,223,44,15,60,56,12,36
390,S01000391,200,16,10,64,68,21,35
391,S01000392,71,9,148,247,19,28,36
392,S01000393,233,20,17,90,93,22,43
393,S01000394,250,13,22,53,112,20,39
394,S01000395,68,78,29,86,162,56,47
395,S01000396,248,26,18,64,106,19,46
396,S01000397,335,27,26,83,161,26,40
397,S01000398,86,145,32,105,119,53,36
398,S01000399,176,14,12,56,85,18,30
399,S01000400,233,22,13,41,89,19,39
400,S01000401,105,111,55,41,192,63,62
401,S01000402,210,47,17,68,124,12,32
402,S01000403,259,21,24,75,136,17,37
403,S01000404,285,24,28,76,118,25,44
404,S01000405,52,30,72,182,45,49,33
405,S01000406,196,14,25,59,98,12,32
406,S01000407,236,47,14,32,96,20,23
407,S01000408,120,47,11,61,115,9,28
408,S01000409,226,42,29,62,125,15,29
409,S01000410,64,25,120,29,190,59,26
410,S01000411,68,18,81,159,77,56,35
411,S01000412,78,52,82,247,58,46,38
412,S01000413,104,6,72,186,143,39,40
413,S01000414,110,1,90,155,155,24,44
414,S01000415,115,20,8,94,91,30,46
415,S01000416,87,10,68,122,151,27,29
416,S01000417,182,7,178,88,178,37,60
417,S01000418,88,19,24,123,155,73,53
418,S01000419,61,76,78,102,117,60,43
419,S01000420,158,11,144,84,189,41,42
420,S01000421,71,33,15,109,144,44,38
421,S01000422,136,4,10,126,134,20,32
422,S01000423,65,48,163,66,256,56,57
423,S01000424,114,18,64,135,156,29,48
424,S01000425,102,21,85,104,163,33,40
425,S01000426,89,40,91,69,215,47,46
426,S01000427,215,9,16,85,241,21,53
427,S01000428,219,9,8,89,206,21,53
428,S01000429,196,7,17,54,197,18,41
429,S01000430,162,10,5,46,142,21,43
430,S01000431,182,6,4,46,126,31,21
431,S01000432,223,11,7,39,270,24,60
432,S01000433,152,6,7,25,98,16,27
433,S01000434,231,16,10,41,141,20,28
434,S01000435,162,15,5,25,153,20,31
435,S01000436,233,3,8,45,211,26,34
436,S01000437,291,21,19,51,268,36,55
437,S01000438,218,2,5,27,239,25,43
438,S01000439,83,93,21,60,168,59,43
439,S01000440,128,58,18,172,173,68,43
440,S01000441,94,24,81,86,125,57,67
441,S01000442,78,41,159,66,230,46,46
442,S01000443,42,41,50,93,135,52,40
443,S01000444,66,84,41,30,159,43,34
444,S01000445,150,38,30,160,244,37,51
445,S01000446,75,64,96,78,259,71,51
446,S01000447,103,10,16,102,88,23,34
447,S01000448,56,46,17,110,121,69,42
448,S01000449,97,12,34,123,140,21,48
449,S01000450,79,20,38,120,161,22,44
450,S01000451,116,35,22,117,176,64,48
451,S01000452,51,44,14,97,142,42,26
452,S01000453,37,39,33,80,113,62,27
453,S01000454,83,8,6,62,68,23,21
454,S01000455,81,53,84,125,166,53,49
455,S01000456,94,112,53,27,107,90,41
456,S01000457,284,4,10,14,102,23,31
457,S01000458,78,35,125,65,242,88,43
458,S01000459,386,15,9,25,136,39,50
459,S01000460,287,3,10,23,81,21,33
460,S01000461,291,3,5,18,108,38,42
461,S01000462,352,9,12,21,125,51,48
462,S01000463,341,105,9,11,86,36,29
463,S01000464,60,39,138,38,123,95,34
464,S01000465,39,57,30,84,168,80,32
465,S01000466,63,57,116,62,194,85,53
466,S01000467,128,120,16,16,84,19,31
467,S01000468,17,40,58,65,129,58,34
468,S01000469,214,128,6,13,70,22,52
469,S01000470,400,105,16,11,126,53,75
470,S01000471,59,69,114,40,84,36,40
471,S01000472,382,62,6,14,102,31,49
472,S01000473,339,29,13,13,70,28,40
473,S01000474,59,43,70,67,100,95,43
474,S01000475,391,40,12,18,85,14,45
475,S01000476,59,65,33,57,81,77,39
476,S01000477,308,66,12,10,79,16,47
477,S01000478,284,25,3,18,82,17,44
478,S01000479,370,41,11,12,93,15,49
479,S01000480,105,104,23,88,95,8,48
480,S01000481,61,208,84,18,108,42,57
481,S01000482,222,58,9,11,88,24,34
482,S01000483,305,22,11,16,79,33,63
483,S01000484,288,35,17,22,100,45,41
484,S01000485,411,120,23,21,145,28,68
485,S01000486,229,52,8,8,98,22,44
486,S01000487,171,21,7,13,52,19,31
487,S01000488,187,73,14,10,85,15,32
488,S01000489,263,36,4,9,87,32,32
489,S01000490,201,76,8,6,82,10,44
490,S01000491,171,33,1,7,65,14,34
491,S01000492,364,72,15,16,92,33,43
492,S01000493,99,12,8,94,117,31,36
493,S01000494,213,27,4,16,52,21,31
494,S01000495,327,83,12,16,105,15,67
495,S01000496,150,112,19,5,91,14,61
496,S01000497,97,10,77,53,141,13,40
497,S01000498,107,16,12,99,66,19,33
498,S01000499,195,12,23,150,112,23,44
499,S01000500,185,18,18,121,77,29,37
500,S01000501,139,12,18,100,45,21,43
501,S01000502,36,72,27,52,110,70,31
502,S01000503,40,40,50,41,97,50,25
503,S01000504,240,16,5,34,102,24,45
504,S01000505,90,90,167,51,80,27,26
505,S01000506,77,97,54,24,92,67,47
506,S01000507,405,24,15,33,114,31,61
507,S01000508,68,71,77,90,157,99,59
508,S01000509,362,27,20,36,120,34,49
509,S01000510,223,13,9,29,90,11,38
510,S01000511,76,95,14,75,59,43,34
511,S01000512,278,14,12,33,164,32,40
512,S01000513,120,20,24,188,66,65,50
513,S01000514,67,94,29,33,84,43,40
514,S01000515,67,52,57,97,76,42,33
515,S01000516,106,20,158,45,50,29,54
516,S01000517,97,13,107,32,101,32,37
517,S01000518,153,8,78,108,124,25,37
518,S01000519,43,29,55,63,63,64,41
519,S01000520,131,44,108,166,113,89,67
520,S01000521,140,15,22,189,124,31,46
521,S01000522,52,50,27,111,90,80,43
522,S01000523,128,12,48,192,62,25,42
523,S01000524,48,52,110,122,44,46,33
524,S01000525,70,74,43,182,88,95,71
525,S01000526,100,145,178,35,112,75,51
526,S01000527,33,94,125,26,55,46,46
527,S01000528,81,138,89,23,76,72,39
528,S01000529,62,51,56,102,82,86,57
529,S01000530,37,59,68,24,53,44,26
530,S01000531,50,13,29,124,68,46,26
531,S01000532,235,39,9,17,76,22,41
532,S01000533,80,9,202,34,66,20,56
533,S01000534,276,47,10,21,68,26,52
534,S01000535,253,127,25,39,89,21,101
535,S01000536,35,73,35,68,51,53,27
536,S01000537,55,72,96,23,51,56,32
537,S01000538,262,67,7,32,67,27,61
538,S01000539,325,31,8,33,112,40,68
539,S01000540,232,84,7,22,85,24,70
540,S01000541,194,20,5,18,53,21,32
541,S01000542,163,83,11,21,40,15,50
542,S01000543,112,111,107,8,65,23,91
543,S01000544,122,4,21,153,71,26,74
544,S01000545,212,76,13,27,59,29,56
545,S01000546,146,108,9,29,54,24,47
546,S01000547,68,94,39,15,55,18,46
547,S01000548,168,155,38,22,105,39,95
548,S01000549,459,45,7,12,123,42,116
549,S01000550,281,8,3,7,44,9,60
550,S01000551,125,17,97,50,73,24,76
551,S01000552,252,1,2,17,44,25,41
552,S01000553,426,1,3,13,86,25,62
553,S01000554,395,7,4,15,69,33,38
554,S01000555,141,12,98,80,89,31,76
555,S01000556,434,17,4,11,93,23,52
556,S01000557,397,2,7,13,68,16,54
557,S01000558,207,1,5,17,53,24,34
558,S01000559,237,6,2,16,61,15,39
559,S01000560,488,11,7,22,96,21,66
560,S01000561,377,0,8,17,100,32,60
561,S01000562,411,6,6,9,78,27,57
562,S01000563,239,13,6,7,69,21,34
563,S01000564,362,7,0,14,65,47,34
564,S01000565,98,19,190,4,58,18,50
565,S01000566,301,13,5,15,82,24,52
566,S01000567,101,246,2,15,50,27,36
567,S01000568,78,3,154,5,56,17,47
568,S01000569,134,44,130,74,28,21,38
569,S01000570,169,65,193,80,20,30,36
570,S01000571,117,40,87,88,22,18,37
571,S01000572,176,71,155,70,27,22,31
572,S01000573,172,51,118,71,20,23,25
573,S01000574,116,42,111,95,22,22,29
574,S01000575,109,33,57,103,25,26,21
575,S01000576,147,47,124,69,23,29,24
576,S01000577,97,43,62,110,22,19,29
577,S01000578,156,39,64,140,16,12,38
578,S01000579,172,57,142,85,23,18,37
579,S01000580,57,96,210,57,39,29,20
580,S01000581,81,107,145,62,36,26,27
581,S01000582,191,22,43,183,29,31,26
582,S01000583,186,14,85,193,24,13,43
583,S01000584,189,5,49,152,16,15,29
584,S01000585,201,6,32,232,31,39,45
585,S01000586,169,40,66,192,39,9,49
586,S01000587,212,1,39,146,36,10,36
587,S01000588,158,3,24,145,28,17,26
588,S01000589,119,6,39,132,39,17,29
589,S01000590,165,3,36,168,48,31,45
590,S01000591,74,83,149,81,25,22,27
591,S01000592,221,2,37,233,49,30,38
592,S01000593,92,73,41,94,33,54,22
593,S01000594,88,39,110,103,31,34,24
594,S01000595,235,4,55,203,47,28,34
595,S01000596,260,6,65,215,71,41,61
596,S01000597,281,10,78,257,78,22,45
597,S01000598,60,84,141,18,25,29,29
598,S01000599,66,65,186,119,43,41,27
599,S01000600,55,83,176,105,21,18,47
600,S01000601,86,96,228,117,63,69,33
601,S01000602,53,44,206,58,38,31,31
602,S01000603,91,40,137,187,35,42,48
603,S01000604,339,118,20,53,151,30,60
604,S01000605,310,10,12,32,119,33,48
605,S01000606,277,30,9,26,79,22,28
606,S01000607,194,21,8,23,111,18,38
607,S01000608,286,46,10,30,105,33,58
608,S01000609,294,56,25,43,74,24,46
609,S01000610,196,36,2,23,72,29,33
610,S01000611,233,12,5,23,48,17,24
611,S01000612,327,22,13,44,119,26,54
612,S01000613,346,13,17,40,137,40,58
613,S01000614,95,24,31,196,77,19,34
614,S01000615,142,30,1,35,74,17,31
615,S01000616,331,196,41,68,100,102,45
616,S01000617,168,49,10,31,66,11,32
617,S01000618,219,45,2,35,100,14,52
618,S01000619,295,29,6,38,66,18,24
619,S01000620,294,33,9,28,106,20,21
620,S01000621,298,17,15,47,120,22,57
621,S01000622,176,47,1,20,42,19,23
622,S01000623,312,52,8,37,59,27,34
623,S01000624,195,30,3,28,67,20,45
624,S01000625,223,48,6,16,40,22,36
625,S01000626,324,19,6,31,51,37,38
626,S01000627,363,44,9,45,99,32,51
627,S01000628,144,60,8,21,54,12,24
628,S01000629,253,41,3,36,91,17,36
629,S01000630,228,41,8,27,87,19,42
630,S01000631,194,34,5,23,60,13,27
631,S01000632,68,18,109,120,30,59,23
632,S01000633,212,82,9,44,82,22,50
633,S01000634,285,45,10,33,88,21,34
634,S01000635,246,73,6,23,89,11,39
635,S01000636,57,33,35,139,41,40,16
636,S01000637,58,37,83,114,42,67,29
637,S01000638,34,75,23,27,74,29,36
638,S01000639,89,41,82,103,47,44,29
639,S01000640,44,160,19,78,42,47,42
640,S01000641,85,18,131,95,94,48,41
641,S01000642,94,34,118,98,98,63,36
642,S01000643,73,16,87,110,81,32,30
643,S01000644,68,2,140,79,94,30,46
644,S01000645,69,72,174,61,113,70,62
