GEO_CODE,Pop
S01000817,918
S01000815,599
S01000816,584
S01000818,767
S01000822,605
S01000821,883
S01000823,591
S01000825,698
S01000826,730
S01000828,879
S01000829,629
S01000827,703
S01000824,645
S01000808,725
S01000819,812
S01000806,838
S01000807,769
S01000802,754
S01000793,812
S01000803,939
S01000801,639
S01000795,771
S01000794,842
S01000791,630
S01000789,653
S01000763,861
S01000725,710
S01000739,759
S01000738,579
S01000755,799
S01000726,751
S01000723,527
S01000724,862
S01000722,819
S01000721,658
S01000720,858
S01000714,832
S01000711,620
S01000719,660
S01000717,974
S01000718,952
S01000716,615
S01000715,671
S01000713,832
S01000712,595
S01000737,583
S01000736,771
S01000734,940
S01000728,768
S01000735,510
S01000731,547
S01000732,536
S01000733,799
S01000729,542
S01000727,706
S01000730,526
S01000740,848
S01000787,526
S01000742,541
S01000741,967
S01000745,734
S01000800,1004
S01000757,694
S01000759,998
S01000785,797
S01000805,822
S01000804,985
S01000756,1104
S01000754,650
S01000750,694
S01000752,992
S01000748,613
S01000747,568
S01000749,559
S01000746,738
S01000744,733
S01000743,726
S01000761,606
S01000760,565
S01000783,506
S01000780,931
S01000792,690
S01000799,2813
S01000797,588
S01000798,535
S01000790,623
S01000788,705
S01000786,784
S01000779,793
S01000796,555
S01000773,962
S01000772,652
S01000781,877
S01000784,871
S01000782,712
S01000777,555
S01000774,598
S01000776,620
S01000778,520
S01000775,704
S01000769,956
S01000768,826
S01000771,983
S01000770,595
S01000767,596
S01000766,758
S01000764,707
S01000762,670
S01000765,671
S01000758,992
S01000751,713
S01000753,646
S01000855,831
S01000868,718
S01000867,739
S01000864,668
S01000858,717
S01000866,944
S01000869,566
S01000873,1530
S01000870,872
S01000880,778
S01000894,593
S01000884,569
S01000859,837
S01000875,736
S01000863,595
S01000887,781
S01000888,724
S01000881,703
S01000882,939
S01000883,923
S01000878,588
S01000871,825
S01000872,650
S01000895,966
S01000874,545
S01000876,744
S01000877,741
S01000890,796
S01000889,796
S01000886,734
S01000885,524
S01000891,925
S01000879,926
S01000892,586
S01000893,730
S01000896,485
S01000842,834
S01000834,911
S01000835,702
S01000838,723
S01000833,572
S01000856,626
S01000854,933
S01000860,873
S01000865,692
S01000862,559
S01000861,656
S01000852,717
S01000846,739
S01000844,689
S01000841,970
S01000840,773
S01000836,847
S01000837,832
S01000847,995
S01000851,686
S01000857,614
S01000850,657
S01000849,539
S01000853,553
S01000848,699
S01000845,573
S01000843,826
S01000839,963
S01000943,845
S01000948,721
S01000941,542
S01000938,846
S01000937,586
S01000929,511
S01000930,861
S01000934,997
S01000933,870
S01000936,926
S01000927,1010
S01000926,650
S01000923,751
S01000924,896
S01000921,738
S01000983,559
S01000915,960
S01000947,730
S01000980,752
S01000910,870
S01000901,675
S01000897,685
S01000916,991
S01000917,683
S01000900,657
S01000954,888
S01000985,710
S01000912,754
S01000932,931
S01000919,629
S01000904,689
S01000903,968
S01000899,867
S01000898,576
S01000951,708
S01000960,554
S01001016,956
S01000928,979
S01000950,810
S01000913,722
S01000957,511
S01000909,934
S01000906,565
S01000907,831
S01000902,979
S01000908,773
S01000911,966
S01000905,701
S01000920,505
S01000942,937
S01000946,756
S01000944,790
S01000952,864
S01000922,818
S01000964,877
S01000945,760
S01000949,613
S01000940,838
S01000939,740
S01000931,708
S01000935,872
S01000925,943
S01000914,855
S01000979,647
S01000988,488
S01001001,546
S01000984,635
S01001044,991
S01001068,857
S01001088,984
S01001086,743
S01001087,524
S01001083,798
S01001089,948
S01001085,873
S01001079,501
S01001077,793
S01001075,980
S01001073,994
S01001076,783
S01001070,876
S01001066,732
S01001071,667
S01001069,871
S01001062,547
S01001057,667
S01001046,499
S01001041,586
S01001039,549
S01001024,881
S01001031,949
S01001029,748
S01001037,879
S01001034,972
S01001027,954
S01001032,733
S01001036,538
S01001033,716
S01001028,783
S01001035,543
S01001019,979
S01001020,523
S01001013,893
S01001017,810
S01001005,895
S01000993,897
S01001008,737
S01001004,703
S01001000,531
S01000998,621
S01000992,908
S01000990,813
S01000968,956
S01000918,643
S01000975,646
S01000987,627
S01001025,1003
S01000996,1030
S01001002,673
S01000999,696
S01000995,831
S01000997,992
S01001003,929
S01001009,614
S01001006,771
S01001012,845
S01001007,792
S01001015,613
S01001010,780
S01001014,794
S01001022,828
S01001030,741
S01001021,928
S01001018,783
S01001052,567
S01001051,694
S01001049,689
S01001048,624
S01001045,698
S01001038,820
S01001043,699
S01001042,865
S01001040,613
S01000989,833
S01001023,986
S01001053,800
S01001060,766
S01001063,787
S01001072,761
S01001047,691
S01001054,788
S01001055,776
S01001056,747
S01001058,771
S01001059,634
S01001078,814
S01001084,968
S01001080,645
S01001082,883
S01001081,620
S01001074,511
S01001064,773
S01001065,753
S01001061,790
S01001050,942
S01001011,617
S01000986,525
S01001026,823
S01000994,1031
S01001067,777
S01000991,507
S01000976,494
S01000978,755
S01000956,858
S01000962,572
S01000969,849
S01000961,853
S01000967,576
S01000973,592
S01000974,848
S01000982,595
S01000966,1080
S01000965,665
S01000971,772
S01000953,906
S01000959,688
S01000958,827
S01000955,527
S01000981,648
S01000977,769
S01000970,793
S01000963,744
S01000972,977
S01001094,953
S01001090,963
S01001103,854
S01001105,923
S01001098,933
S01001097,643
S01001092,1015
S01001091,662
S01001093,1045
S01001095,1323
S01001109,854
S01001102,831
S01001096,956
S01001099,860
S01001100,922
S01001104,702
S01001107,987
S01001111,1020
S01001110,879
S01001123,939
S01001127,805
S01001114,902
S01001101,1120
S01001108,658
S01001121,783
S01001117,603
S01001113,1073
S01001122,807
S01001131,893
S01001149,872
S01001141,810
S01001137,955
S01001163,675
S01001166,851
S01001180,713
S01001196,981
S01001214,723
S01001206,805
S01001183,940
S01001192,997
S01001174,686
S01001188,840
S01001165,843
S01001136,864
S01001147,724
S01001156,772
S01001168,675
S01001138,950
S01001184,939
S01001162,865
S01001193,865
S01001205,767
S01001133,916
S01001153,742
S01001158,573
S01001124,641
S01001161,582
S01001139,753
S01001182,908
S01001203,795
S01001191,669
S01001216,963
S01001220,546
S01001212,647
S01001226,829
S01001186,818
S01001167,955
S01001143,771
S01001159,795
S01001197,545
S01001199,976
S01001210,866
S01001202,605
S01001181,894
S01001142,966
S01001119,955
S01001155,653
S01001179,982
S01001134,990
S01001112,825
S01001160,593
S01001157,862
S01001190,785
S01001194,934
S01001120,655
S01001148,740
S01001154,761
S01001185,583
S01001189,984
S01001204,830
S01001232,693
S01001219,556
S01001218,759
S01001223,782
S01001248,876
S01001242,919
S01001244,817
S01001230,891
S01001239,833
S01001240,810
S01001249,700
S01001253,674
S01001258,538
S01001260,659
S01001264,568
S01001250,974
S01001233,991
S01001252,642
S01001241,793
S01001251,721
S01001238,809
S01001227,752
S01001224,994
S01001213,1030
S01001209,600
S01001200,897
S01001217,922
S01001231,736
S01001235,851
S01001225,974
S01001236,933
S01001255,947
S01001245,813
S01001257,805
S01001247,663
S01001262,924
S01001268,764
S01001263,511
S01001266,766
S01001259,809
S01001246,975
S01001237,575
S01001228,834
S01001229,762
S01001215,805
S01001211,960
S01001208,742
S01001171,634
S01001140,1024
S01001145,598
S01001152,977
S01001177,707
S01001164,589
S01001178,862
S01001115,811
S01001132,735
S01001118,633
S01001146,972
S01001126,1078
S01001116,640
S01001106,787
S01001130,836
S01001144,674
S01001150,726
S01001125,761
S01001135,594
S01001129,961
S01001175,890
S01001198,754
S01001187,914
S01001170,829
S01001173,892
S01001207,936
S01001195,971
S01001201,721
S01001151,778
S01001172,663
S01001169,1013
S01001176,749
S01001234,652
S01001222,960
S01001243,618
S01001254,702
S01001256,862
S01001261,933
S01001267,988
S01001265,594
S01001128,737
S01001269,544
S01001270,817
S01001271,802
S01001272,706
S01001273,701
S01001283,491
S01001284,790
S01001277,743
S01001278,503
S01001275,702
S01001274,734
S01001285,644
S01001304,722
S01001305,751
S01001311,606
S01001312,774
S01001322,822
S01001313,673
S01001321,545
S01001320,935
S01001287,901
S01001288,922
S01001286,640
S01001290,549
S01001314,724
S01001315,961
S01001317,932
S01001318,553
S01001300,980
S01001276,508
S01001282,735
S01001301,632
S01001306,701
S01001316,981
S01001319,649
S01001279,987
S01001281,835
S01001280,608
S01001291,565
S01001292,948
S01001289,687
S01001293,787
S01001296,750
S01001294,769
S01001297,790
S01001295,905
S01001299,943
S01001298,909
S01001302,694
S01001303,611
S01001308,999
S01001309,761
S01001307,1005
S01001310,747
S01001368,1020
S01001358,873
S01001411,578
S01001410,1058
S01001420,604
S01001419,746
S01001422,549
S01001421,839
S01001418,944
S01001416,685
S01001415,796
S01001413,763
S01001417,1034
S01001414,668
S01001412,946
S01001369,960
S01001375,674
S01001360,854
S01001364,880
S01001354,794
S01001355,766
S01001350,730
S01001344,833
S01001345,815
S01001337,871
S01001339,677
S01001343,990
S01001338,814
S01001334,881
S01001340,778
S01001342,867
S01001352,878
S01001341,920
S01001349,1251
S01001365,644
S01001323,623
S01001324,946
S01001327,775
S01001329,603
S01001328,823
S01001325,731
S01001326,985
S01001331,869
S01001332,908
S01001335,985
S01001336,920
S01001330,979
S01001333,860
S01001348,730
S01001357,728
S01001361,558
S01001363,595
S01001370,735
S01001367,725
S01001362,622
S01001374,601
S01001377,805
S01001381,858
S01001384,950
S01001387,860
S01001390,854
S01001389,510
S01001391,828
S01001395,964
S01001405,865
S01001406,607
S01001404,686
S01001402,928
S01001403,990
S01001398,916
S01001393,550
S01001401,699
S01001400,927
S01001399,902
S01001397,827
S01001396,777
S01001392,520
S01001394,545
S01001388,917
S01001386,872
S01001382,618
S01001376,741
S01001371,714
S01001378,600
S01001385,842
S01001380,825
S01001366,969
S01001356,635
S01001359,747
S01001351,557
S01001346,694
S01001347,813
S01001353,679
S01001372,773
S01001379,998
S01001383,683
S01001373,635
S01001407,845
S01001408,848
S01001409,908
S01001540,838
S01001508,1005
S01001481,998
S01001523,801
S01001526,645
S01001534,705
S01001518,1014
S01001530,883
S01001527,865
S01001538,892
S01001529,661
S01001532,587
S01001533,899
S01001519,955
S01001521,1027
S01001452,797
S01001517,887
S01001515,729
S01001511,624
S01001501,834
S01001495,612
S01001491,907
S01001484,855
S01001475,660
S01001473,807
S01001483,906
S01001486,848
S01001496,910
S01001507,962
S01001498,770
S01001489,949
S01001488,941
S01001465,660
S01001482,772
S01001476,1063
S01001470,1009
S01001454,963
S01001443,954
S01001440,980
S01001445,749
S01001447,875
S01001436,990
S01001438,620
S01001456,659
S01001462,914
S01001469,835
S01001459,918
S01001451,702
S01001449,602
S01001466,775
S01001535,952
S01001499,1038
S01001528,1014
S01001463,667
S01001461,915
S01001458,974
S01001460,706
S01001455,798
S01001446,912
S01001450,805
S01001468,653
S01001474,1194
S01001448,714
S01001441,829
S01001435,1007
S01001430,985
S01001439,784
S01001434,1024
S01001423,812
S01001426,787
S01001429,616
S01001428,1014
S01001424,1085
S01001425,980
S01001432,731
S01003660,874
S01001431,1027
S01001427,930
S01001433,917
S01001437,953
S01001442,744
S01001444,1015
S01001477,1060
S01001472,876
S01001457,930
S01001487,678
S01001479,643
S01001478,695
S01001471,747
S01001453,886
S01001464,924
S01001467,898
S01001480,532
S01001493,841
S01001485,731
S01001494,892
S01001490,945
S01001497,762
S01001505,1018
S01001531,1004
S01001510,594
S01001506,591
S01001504,932
S01001513,868
S01001512,892
S01001509,941
S01001500,836
S01001502,912
S01001503,911
S01001492,1003
S01001536,842
S01001537,699
S01001525,844
S01001514,836
S01001520,765
S01001524,963
S01001516,744
S01001522,995
S01001539,869
S01001541,878
S01001542,740
S01001544,949
S01001543,762
S01001545,799
S01001546,935
S01001547,938
S01001548,700
S01001549,1048
S01001555,781
S01001560,669
S01001561,731
S01001571,752
S01001579,848
S01001582,610
S01001563,638
S01001565,774
S01001564,582
S01001566,672
S01001572,581
S01001575,780
S01001568,726
S01001584,769
S01001581,729
S01001570,539
S01001586,518
S01001598,637
S01001599,887
S01001590,766
S01001594,793
S01001600,1043
S01001597,790
S01001606,547
S01001585,952
S01001580,601
S01001574,924
S01001583,484
S01001593,880
S01001607,1040
S01001596,805
S01001592,768
S01001588,782
S01001619,723
S01001613,861
S01001617,714
S01001625,756
S01001629,675
S01001630,548
S01001620,813
S01001621,763
S01001627,715
S01001631,941
S01001628,585
S01001637,741
S01001638,883
S01001632,619
S01001634,834
S01001639,675
S01001635,742
S01001636,575
S01001602,620
S01001603,880
S01001604,682
S01001595,733
S01001591,629
S01001576,593
S01001567,962
S01001577,776
S01001587,823
S01001589,784
S01001562,664
S01001569,536
S01001559,514
S01001558,829
S01001556,925
S01001552,862
S01001578,689
S01001605,607
S01001633,941
S01001640,689
S01001642,950
S01001654,601
S01001655,609
S01001554,993
S01001557,1056
S01001550,657
S01001551,832
S01001553,809
S01001611,777
S01001616,587
S01001612,848
S01001623,783
S01001624,1051
S01001626,806
S01001622,907
S01001614,634
S01001608,900
S01001610,619
S01001615,774
S01001609,942
S01001646,581
S01001656,968
S01001659,645
S01001660,652
S01001661,648
S01001668,825
S01001665,761
S01001667,771
S01001669,694
S01001658,925
S01001663,841
S01001662,769
S01001666,612
S01001657,512
S01001664,543
S01001652,816
S01001643,762
S01001618,922
S01001573,658
S01001641,612
S01001601,783
S01001649,759
S01001648,776
S01001650,898
S01001651,908
S01001653,669
S01001645,919
S01001647,660
S01001644,765
S01001682,676
S01001712,517
S01001740,788
S01001733,733
S01001725,715
S01001757,762
S01001724,793
S01001716,785
S01001678,942
S01001684,702
S01001776,613
S01001788,874
S01001785,679
S01001786,629
S01001787,642
S01001761,691
S01001765,993
S01001760,698
S01001778,904
S01001770,542
S01001759,609
S01001783,638
S01001789,659
S01001732,596
S01001749,761
S01001750,731
S01001744,616
S01001751,914
S01001753,851
S01001741,650
S01001742,707
S01001743,911
S01001747,874
S01001720,690
S01001715,960
S01001713,957
S01001709,605
S01001708,943
S01001702,954
S01001721,638
S01001685,680
S01001676,966
S01001692,663
S01001690,545
S01001693,808
S01001705,590
S01001703,757
S01001699,666
S01001697,807
S01001691,876
S01001723,709
S01001704,937
S01001726,662
S01001700,980
S01001687,992
S01001683,736
S01001679,696
S01001680,601
S01001689,727
S01001686,937
S01001681,649
S01001672,589
S01001673,666
S01001675,677
S01001674,711
S01001670,689
S01001677,835
S01001671,568
S01001688,838
S01001696,762
S01001695,744
S01001701,889
S01001707,786
S01001694,644
S01001698,523
S01001710,663
S01001717,776
S01001711,765
S01001719,795
S01001714,707
S01001706,784
S01001718,505
S01001722,754
S01001727,942
S01001734,527
S01001728,672
S01001730,630
S01001735,506
S01001729,970
S01001731,635
S01001745,909
S01001737,614
S01001739,628
S01001756,653
S01001748,640
S01001758,766
S01001777,924
S01001775,751
S01001763,840
S01001764,530
S01001769,718
S01001752,994
S01001767,628
S01001779,538
S01001781,669
S01001782,936
S01001736,999
S01001738,619
S01001746,1019
S01001754,820
S01001762,987
S01001772,539
S01001774,631
S01001780,807
S01001784,587
S01001768,617
S01001755,918
S01001766,696
S01001771,900
S01001773,956
S01001791,748
S01001790,762
S01001793,851
S01001792,736
S01001794,924
S01001801,954
S01001796,813
S01001844,2647
S01001795,875
S01001805,784
S01001800,999
S01001797,701
S01001807,844
S01001806,657
S01001815,879
S01001840,736
S01001863,916
S01001862,909
S01001852,808
S01001836,740
S01001829,705
S01001816,1076
S01001819,1032
S01001833,969
S01001849,631
S01001835,645
S01001854,1295
S01001860,1074
S01001866,704
S01001881,674
S01001864,894
S01001865,707
S01001874,720
S01001877,986
S01001893,973
S01001892,769
S01001898,649
S01001890,927
S01001880,745
S01001894,739
S01001897,884
S01001886,601
S01001909,669
S01001919,908
S01001912,793
S01001910,766
S01001899,796
S01001926,787
S01001923,774
S01001931,754
S01001946,838
S01001943,621
S01001949,724
S01001971,774
S01001955,800
S01002021,965
S01002005,796
S01001977,783
S01001965,830
S01001932,1338
S01001921,602
S01001904,637
S01001900,833
S01001913,983
S01001937,900
S01001934,793
S01001969,648
S01001950,907
S01001963,766
S01001984,531
S01001997,744
S01002031,659
S01002036,825
S01002007,934
S01002001,766
S01002033,753
S01002052,752
S01002064,871
S01001986,622
S01001980,685
S01001961,955
S01001972,765
S01001968,836
S01001994,845
S01001933,918
S01001947,843
S01001929,754
S01001915,849
S01001888,907
S01001885,1098
S01001901,982
S01001911,760
S01001918,866
S01001928,1097
S01001916,815
S01001905,920
S01001896,844
S01001878,1065
S01001902,902
S01001875,880
S01001883,569
S01001871,864
S01001861,1004
S01001856,642
S01001850,784
S01001841,740
S01001831,765
S01001843,755
S01001848,788
S01001824,780
S01001821,524
S01001814,753
S01001813,715
S01001818,767
S01001837,938
S01001811,716
S01001853,776
S01001845,848
S01001846,943
S01001830,936
S01001828,791
S01001812,566
S01001804,1076
S01001798,909
S01001803,1003
S01001802,819
S01001825,815
S01001822,1014
S01001810,947
S01001808,633
S01001799,1022
S01001809,819
S01001820,800
S01001823,1055
S01001839,956
S01001832,677
S01001817,694
S01001838,583
S01001826,958
S01001827,1057
S01001834,576
S01001847,823
S01001859,966
S01001867,548
S01001882,771
S01001906,911
S01001879,676
S01001870,733
S01001857,806
S01001872,809
S01001851,786
S01001842,814
S01001855,758
S01001869,845
S01001858,890
S01001873,809
S01001868,673
S01001889,577
S01001884,998
S01001876,1055
S01001891,665
S01001895,756
S01001903,588
S01001907,794
S01001908,884
S01001924,729
S01001936,999
S01001940,740
S01001920,720
S01001925,807
S01001941,947
S01001951,833
S01001958,876
S01001989,879
S01001976,753
S01001960,879
S01001992,916
S01002028,2692
S01002054,756
S01002049,1096
S01001981,800
S01001983,765
S01001952,764
S01001970,614
S01001945,729
S01001927,913
