GEO_CODE,TotalCars
S01000355,372.0
S01000356,442.0
S01000357,356.0
S01000358,614.0
S01000359,486.0
S01000360,315.0
S01000361,403.0
S01000362,576.0
S01000363,646.0
S01000364,606.0
S01000365,383.0
S01000366,497.0
S01000367,487.0
S01000368,456.0
S01000369,632.0
S01000370,490.0
S01000371,511.0
S01000372,504.0
S01000373,345.0
S01000374,390.0
S01000375,306.0
S01000376,408.0
S01000377,503.0
S01000378,257.0
S01000379,405.0
S01000380,453.0
S01000381,562.0
S01000382,453.0
S01000383,424.0
S01000384,469.0
S01000385,275.0
S01000386,508.0
S01000387,534.0
S01000388,510.0
S01000389,371.0
S01000390,291.0
S01000391,285.0
S01000392,439.0
S01000393,435.0
S01000394,322.0
S01000395,479.0
S01000396,368.0
S01000397,505.0
S01000398,489.0
S01000399,318.0
S01000400,308.0
S01000401,517.0
S01000402,363.0
S01000403,408.0
S01000404,350.0
S01000405,383.0
S01000406,286.0
S01000407,258.0
S01000408,280.0
S01000409,336.0
S01000410,445.0
S01000411,397.0
S01000412,501.0
S01000413,477.0
S01000414,397.0
S01000415,318.0
S01000416,376.0
S01000417,541.0
S01000418,447.0
S01000419,466.0
S01000420,514.0
S01000421,390.0
S01000422,375.0
S01000423,595.0
S01000424,408.0
S01000425,439.0
S01000426,495.0
S01000427,405.0
S01000428,447.0
S01000429,437.0
S01000430,305.0
S01000431,286.0
S01000432,542.0
S01000433,225.0
S01000434,278.0
S01000435,306.0
S01000436,360.0
S01000437,482.0
S01000438,380.0
S01000439,452.0
S01000440,519.0
S01000441,475.0
S01000442,548.0
S01000443,388.0
S01000444,380.0
S01000445,537.0
S01000446,609.0
S01000447,292.0
S01000448,392.0
S01000449,365.0
S01000450,348.0
S01000451,490.0
S01000452,350.0
S01000453,346.0
S01000454,245.0
S01000455,499.0
S01000456,465.0
S01000457,404.0
S01000458,568.0
S01000459,456.0
S01000460,218.0
S01000461,316.0
S01000462,369.0
S01000463,272.0
S01000464,481.0
S01000465,425.0
S01000466,502.0
S01000467,267.0
S01000468,337.0
S01000469,313.0
S01000470,448.0
S01000471,359.0
S01000472,311.0
S01000473,274.0
S01000474,389.0
S01000475,290.0
S01000476,346.0
S01000477,328.0
S01000478,278.0
S01000479,347.0
S01000480,351.0
S01000481,512.0
S01000482,237.0
S01000483,386.0
S01000484,298.0
S01000485,563.0
S01000486,214.0
S01000487,242.0
S01000488,256.0
S01000489,250.0
S01000490,282.0
S01000491,131.0
S01000492,284.0
S01000493,304.0
S01000494,167.0
S01000495,426.0
S01000496,331.0
S01000497,353.0
S01000498,304.0
S01000499,425.0
S01000500,274.0
S01000501,276.0
S01000502,326.0
S01000503,315.0
S01000504,376.0
S01000505,423.0
S01000506,382.0
S01000507,437.0
S01000508,541.0
S01000509,493.0
S01000510,321.0
